trigger,time_s
59,0.501596
81,2.484929
62,3.019981
81,5.003314
46,5.530769
81,7.514102
75,8.066175
81,10.049509
44,10.576729
81,12.560062
102,13.113252
100,13.329919
101,14.529919
103,15.096586
54,15.633294
81,17.616628
41,18.166694
81,20.150028
62,20.684820
81,22.668154
80,23.213466
81,25.196799
102,25.752585
100,25.952585
101,27.152585
103,27.735918
66,28.259228
81,30.242561
51,30.769548
81,32.752881
80,33.290173
81,35.273506
63,35.805313
81,37.788647
46,38.337375
81,40.320708
71,40.874312
81,42.857645
72,43.397217
81,45.380550
55,45.902525
81,47.885859
65,48.417587
81,50.400920
63,50.929805
81,52.913138
102,53.455603
100,53.922270
101,55.122270
103,55.438937
102,55.965763
100,56.715763
101,57.915763
103,57.949096
56,58.469164
81,60.452498
58,60.989585
81,62.972918
51,63.500779
81,65.484112
76,66.020671
81,68.004004
60,68.534503
81,70.517836
64,71.065107
81,73.048441
78,73.575446
81,75.558780
43,76.104679
81,78.088012
47,78.609278
81,80.592612
52,81.140497
81,83.123830
102,83.680385
100,84.147052
101,85.347052
103,85.663718
47,86.191645
81,88.174978
72,88.731632
81,90.714966
45,91.256510
81,93.239843
53,93.779318
81,95.762651
44,96.289543
81,98.272876
42,98.816349
81,100.799683
69,101.334211
81,103.317545
61,103.857949
81,105.841283
74,106.377128
81,108.360461
102,108.908413
100,109.591746
101,110.791746
103,110.891746
58,111.429493
81,113.412827
73,113.942823
81,115.926156
79,116.455558
81,118.438892
52,118.977977
81,120.961310
64,121.516664
81,123.499997
76,124.020725
81,126.004058
79,126.521564
81,128.504897
67,129.039563
81,131.022896
56,131.546794
81,133.530128
102,134.083099
100,134.349765
101,135.549765
103,136.066432
66,136.605818
81,138.589151
102,139.138605
100,139.338605
101,140.538605
103,141.121938
41,141.671305
81,143.654638
74,144.171761
81,146.155094
48,146.706962
81,148.690295
45,149.223981
81,151.207314
65,151.733041
81,153.716374
68,154.267757
81,156.251090
75,156.801113
81,158.784447
54,159.336010
81,161.319343
57,161.871439
81,163.854772
102,164.409773
100,164.926440
101,166.126440
103,166.393106
102,166.919991
100,167.453325
101,168.653325
103,168.903325
55,169.429682
81,171.413015
77,171.931966
81,173.915299
67,174.461956
81,176.445290
71,176.976932
81,178.960266
61,179.503730
81,181.487063
69,182.035821
81,184.019155
77,184.546044
81,186.529377
49,187.085763
81,189.069096
50,189.609698
81,191.593032
59,192.145337
81,194.128670
53,194.665929
81,196.649263
57,197.202365
81,199.185698
43,199.721889
81,201.705222
