trigger
17
81
1
81
25
81
28
81
11
81
40
81
31
81
20
81
38
81
102
100
101
103
40
81
3
81
22
81
7
81
12
81
15
81
102
100
101
103
16
81
36
81
37
81
35
81
14
81
3
81
19
81
23
81
18
81
31
81
21
81
16
81
34
81
11
81
18
81
15
81
102
100
101
103
17
81
35
81
23
81
102
100
101
103
10
81
24
81
102
100
101
103
12
81
39
81
102
100
101
103
32
81
19
81
26
81
33
81
2
81
24
81
4
81
27
81
13
81
13
81
39
81
5
81
102
100
101
103
27
81
6
81
102
100
101
103
21
81
29
81
102
100
101
103
29
81
37
81
6
81
22
81
14
81
9
81
36
81
102
100
101
103
26
81
1
81
25
81
34
81
5
81
8
81
7
81
4
81
32
81
59
81
62
81
46
81
75
81
44
81
102
100
101
103
54
81
41
81
62
81
80
81
102
100
101
103
66
81
51
81
80
81
63
81
46
81
71
81
72
81
55
81
65
81
63
81
102
100
101
103
102
100
101
103
56
81
58
81
51
81
76
81
60
81
64
81
78
81
43
81
47
81
52
81
102
100
101
103
47
81
72
81
45
81
53
81
44
81
42
81
69
81
61
81
74
81
102
100
101
103
58
81
73
81
79
81
52
81
64
81
76
81
79
81
67
81
56
81
102
100
101
103
66
81
102
100
101
103
41
81
74
81
48
81
45
81
65
81
68
81
75
81
54
81
57
81
102
100
101
103
102
100
101
103
55
81
77
81
67
81
71
81
61
81
69
81
77
81
49
81
50
81
59
81
53
81
57
81
43
81
