trigger,start_s,end_s,allowed,match,match debug1
102,250.392000,250.394000,1,1,1
100,250.652000,250.654000,1,1,1
101,251.836000,251.838000,1,1,1
103,252.370000,252.372000,1,1,1
26,253.344000,253.346000,1,1,1
201,254.405000,254.407000,1,0,NaN
81,255.322000,255.324000,1,1,1
1,256.314000,256.316000,1,1,1
81,258.291000,258.293000,1,1,1
25,258.966000,258.968000,1,1,1
81,260.944000,260.945000,1,1,1
34,261.643000,261.645000,1,1,1
201,263.554000,263.556000,1,0,NaN
81,263.628000,263.630000,1,1,1
5,264.754000,264.756000,1,1,1
81,266.732000,266.734000,1,1,1
8,267.398000,267.400000,1,1,1
81,269.383000,269.385000,1,1,1
7,270.042000,270.044000,1,1,1
81,272.020000,272.022000,1,1,1
4,272.686000,272.688000,1,1,1
201,273.879000,273.881000,1,0,NaN
201,274.096000,274.098000,1,0,NaN
81,274.663000,274.665000,1,1,1
32,275.638000,275.640000,1,1,1
81,277.616000,277.618000,1,1,1
59,287.031000,287.033000,1,1,1
81,289.016000,289.018000,1,1,1
62,289.700000,289.702000,1,1,1
81,291.678000,291.680000,1,1,1
46,292.352000,292.354000,1,1,1
81,294.337000,294.339000,1,1,1
75,294.996000,294.998000,1,1,1
81,296.974000,296.976000,1,1,1
44,297.640000,297.642000,1,1,1
81,299.618000,299.620000,1,1,1
102,300.292000,300.294000,1,1,1
100,300.509000,300.511000,1,1,1
101,301.693000,301.695000,1,1,1
103,302.277000,302.279000,1,1,1
54,303.244000,303.246000,1,1,1
81,305.229000,305.231000,1,1,1
41,306.197000,306.199000,1,1,1
81,308.182000,308.184000,1,1,1
62,308.858000,308.860000,1,1,1
81,310.835000,310.837000,1,1,1
80,311.510000,311.512000,1,1,1
81,313.495000,313.497000,1,1,1
102,314.154000,314.156000,1,1,1
100,314.347000,314.349000,1,1,1
101,315.531000,315.533000,1,1,1
103,316.132000,316.134000,1,1,1
66,317.106000,317.108000,1,1,1
81,319.084000,319.086000,1,1,1
51,319.758000,319.760000,1,1,1
81,321.743000,321.745000,1,1,1
80,322.402000,322.404000,1,1,1
81,324.380000,324.382000,1,1,1
63,325.054000,325.056000,1,1,1
81,327.039000,327.041000,1,1,1
46,327.698000,327.700000,1,1,1
81,329.683000,329.685000,1,1,1
71,NaN,NaN,1,MISSING,1
81,332.335000,332.337000,1,1,1
72,333.003000,333.005000,1,1,1
81,334.981000,334.983000,1,1,1
55,335.655000,335.657000,1,1,1
81,337.640000,337.642000,1,1,1
65,338.299000,338.301000,1,1,1
81,340.277000,340.279000,1,1,1
63,340.951000,340.953000,1,1,1
81,342.929000,342.931000,1,1,1
102,343.595000,343.597000,1,1,1
100,344.055000,344.057000,1,1,1
101,345.239000,345.241000,1,1,1
103,345.573000,345.575000,1,1,1
102,346.564000,346.566000,1,1,1
100,347.315000,347.317000,1,1,1
101,348.499000,348.501000,1,1,1
103,348.549000,348.551000,1,1,1
56,349.533000,349.535000,1,1,1
81,351.511000,351.513000,1,1,1
