trigger,time_s
3,0.537722
81,3.187722
2,3.724842
81,6.374842
40,6.930558
81,9.580558
17,10.100459
81,12.750459
26,13.291419
81,15.941419
31,16.473146
81,19.123146
35,19.671888
81,22.321888
28,22.845536
81,25.495536
1,26.047068
81,28.697068
102,29.235492
100,29.552159
101,30.818826
103,31.885492
21,32.438248
81,35.088248
23,35.624001
81,38.274001
102,38.807887
100,39.374554
101,40.641220
103,41.457887
18,42.006112
81,44.656112
22,45.212144
81,47.862144
40,48.393600
81,51.043600
21,51.599024
81,54.249024
32,54.802852
81,57.452852
12,57.976626
81,60.626626
35,61.167647
81,63.817647
9,64.362508
81,67.012508
102,67.566887
100,68.233554
101,69.500220
103,70.216887
3,70.760180
81,73.410180
19,73.932182
81,76.582182
20,77.118764
81,79.768764
14,80.305175
81,82.955175
15,83.491851
81,86.141851
34,86.696861
81,89.346861
102,89.877525
100,90.394192
101,91.660858
103,92.527525
33,93.053143
81,95.703143
102,96.240693
100,96.474026
101,97.740693
103,98.890693
29,99.433006
81,102.083006
23,102.637237
81,105.287237
29,105.827184
81,108.477184
32,109.004564
81,111.654564
17,112.208422
81,114.858422
2,115.394758
81,118.044758
18,118.588457
81,121.238457
102,121.774165
100,122.574165
101,123.840831
103,124.424165
4,124.949511
81,127.599511
27,128.143879
81,130.793879
102,131.341371
100,131.858038
101,133.124705
103,133.991371
10,134.515669
81,137.165669
38,137.700733
81,140.350733
12,140.881872
81,143.531872
8,144.055368
81,146.705368
4,147.230889
81,149.880889
102,150.436056
100,151.502722
101,152.769389
103,153.086056
16,153.638091
81,156.288091
102,156.820050
100,157.570050
101,158.836716
103,159.470050
16,160.016295
81,162.666295
6,163.184641
81,165.834641
25,166.387909
81,169.037909
20,169.576063
81,172.226063
22,172.775540
81,175.425540
5,175.953245
81,178.603245
36,179.134956
81,181.784956
34,182.315545
81,184.965545
14,185.521109
81,188.171109
30,188.704954
81,191.354954
38,191.891608
81,194.541608
28,195.096514
81,197.746514
6,198.299309
81,200.949309
30,201.481776
81,204.131776
11,204.660737
81,207.310737
25,207.859685
81,210.509685
15,211.030651
81,213.680651
26,214.213005
81,216.863005
19,217.414729
81,220.064729
11,220.618101
81,223.268101
37,223.794107
81,226.444107
33,226.963923
81,229.613923
102,230.162098
100,230.628765
101,231.895432
103,232.812098
24,233.353636
81,236.003636
39,236.529803
81,239.179803
1,239.716705
81,242.366705
13,242.886229
81,245.536229
27,246.080899
81,248.730899
36,249.268635
81,251.918635
39,252.463487
81,255.113487
