trigger,time_s
62,0.503527
81,3.153527
79,3.695986
81,6.345986
102,6.877466
100,7.210799
101,8.477466
103,9.527466
78,10.064105
81,12.714105
76,13.244191
81,15.894191
46,16.436221
81,19.086221
71,19.625618
81,22.275618
53,22.816970
81,25.466970
53,25.986171
81,28.636171
48,29.161844
81,31.811844
54,32.331387
81,34.981387
70,35.513385
81,38.163385
77,38.699292
81,41.349292
68,41.870453
81,44.520453
66,45.063823
81,47.713823
75,48.249984
81,50.899984
102,51.436664
100,51.736664
101,53.003330
103,54.086664
41,54.627229
81,57.277229
102,57.831291
100,58.531291
101,59.797957
103,60.481291
59,61.021512
81,63.671512
43,64.191918
81,66.841918
42,67.364443
81,70.014443
55,70.558866
81,73.208866
44,73.738437
81,76.388437
60,76.935315
81,79.585315
56,80.122407
81,82.772407
67,83.304262
81,85.954262
74,86.500506
81,89.150506
70,89.674492
81,92.324492
51,92.852551
81,95.502551
52,96.030896
81,98.680896
41,99.214175
81,101.864175
58,102.417126
81,105.067126
69,105.616295
81,108.266295
49,108.815825
81,111.465825
55,112.007738
81,114.657738
72,115.174733
81,117.824733
65,118.352845
81,121.002845
69,121.539584
81,124.189584
51,124.742189
81,127.392189
66,127.923407
81,130.573407
102,131.112096
100,131.795429
101,133.062096
103,133.762096
52,134.312704
81,136.962704
45,137.493027
81,140.143027
62,140.689617
81,143.339617
64,143.880084
81,146.530084
64,147.067764
81,149.717764
102,150.259623
100,151.309623
101,152.576289
103,152.909623
47,153.445683
81,156.095683
80,156.616869
81,159.266869
44,159.819412
81,162.469412
102,163.024868
100,163.808201
101,165.074868
103,165.674868
65,166.224861
81,168.874861
102,169.405679
100,170.222346
101,171.489013
103,172.055679
56,172.597703
81,175.247703
102,175.795200
100,176.028533
101,177.295200
103,178.445200
63,178.964356
81,181.614356
72,182.162601
81,184.812601
47,185.332663
81,187.982663
57,188.536923
81,191.186923
73,191.713248
81,194.363248
76,194.918441
81,197.568441
80,198.094390
81,200.744390
77,201.282472
81,203.932472
45,204.482398
81,207.132398
59,207.688566
81,210.338566
102,210.883461
100,211.433461
101,212.700127
103,213.533461
58,214.083516
81,216.733516
46,217.265855
81,219.915855
67,220.462550
81,223.112550
61,223.644602
81,226.294602
57,226.848463
81,229.498463
50,230.046070
81,232.696070
68,233.227913
81,235.877913
60,236.425948
81,239.075948
42,239.595275
81,242.245275
49,242.798945
81,245.448945
73,245.993337
81,248.643337
102,249.173091
100,250.089758
101,251.356425
103,251.823091
63,252.365636
81,255.015636
