trigger,start_s,end_s,allowed,match
57,149.290000,149.292000,1,1
81,151.942000,151.944000,1,1
58,152.618000,152.620000,1,1
81,155.270000,155.272000,1,1
102,155.937000,155.939000,1,1
100,156.813000,156.815000,1,1
101,NaN,NaN,1,MISSING
103,158.598000,158.600000,1,1
70,159.573000,159.575000,1,1
81,162.226000,162.228000,1,1
60,162.893000,162.895000,1,1
81,165.545000,165.547000,1,1
68,166.204000,166.206000,1,1
81,168.856000,168.858000,1,1
56,169.515000,169.517000,1,1
81,172.167000,172.169000,1,1
44,172.818000,172.820000,1,1
81,175.470000,175.472000,1,1
67,176.121000,176.123000,1,1
81,178.773000,178.775000,1,1
41,179.423000,179.425000,1,1
81,182.076000,182.078000,1,1
63,182.734000,182.736000,1,1
81,185.387000,185.389000,1,1
77,186.037000,186.039000,1,1
81,188.689000,188.691000,1,1
79,189.348000,189.350000,1,1
81,192.001000,192.003000,1,1
63,192.651000,192.653000,1,1
81,195.303000,195.305000,1,1
41,195.954000,195.956000,1,1
81,198.606000,198.608000,1,1
47,199.257000,199.259000,1,1
81,201.909000,201.911000,1,1
77,202.559000,202.561000,1,1
81,205.212000,205.214000,1,1
68,205.862000,205.864000,1,1
81,208.514000,208.516000,1,1
49,209.173000,209.175000,1,1
81,211.825000,211.827000,1,1
66,212.484000,212.486000,1,1
81,215.137000,215.139000,1,1
102,215.787000,215.789000,1,1
100,216.271000,216.273000,1,1
101,NaN,NaN,1,MISSING
103,218.439000,218.441000,1,1
50,219.398000,219.400000,1,1
81,222.051000,222.053000,1,1
50,222.701000,222.703000,1,1
81,225.353000,225.355000,1,1
80,226.012000,226.014000,1,1
81,228.665000,228.667000,1,1
72,229.315000,229.317000,1,1
81,231.967000,231.969000,1,1
75,232.626000,232.628000,1,1
81,235.278000,235.280000,1,1
61,235.937000,235.939000,1,1
81,238.590000,238.592000,1,1
102,239.240000,239.242000,1,1
100,239.707000,239.709000,1,1
101,NaN,NaN,1,MISSING
103,241.892000,241.894000,1,1
55,242.851000,242.853000,1,1
81,245.504000,245.506000,1,1
45,246.154000,246.156000,1,1
81,248.806000,248.808000,1,1
74,249.457000,249.459000,1,1
81,252.109000,252.111000,1,1
48,252.768000,252.770000,1,1
81,255.420000,255.422000,1,1
42,256.079000,256.081000,1,1
81,258.731000,258.733000,1,1
71,259.382000,259.384000,1,1
81,262.034000,262.036000,1,1
71,262.685000,262.687000,1,1
81,265.337000,265.339000,1,1
102,265.996000,265.998000,1,1
100,266.213000,266.215000,1,1
201,266.958000,266.960000,1,0
101,NaN,NaN,1,MISSING
103,268.648000,268.650000,1,1
73,269.315000,269.317000,1,1
81,271.967000,271.969000,1,1
64,272.635000,272.637000,1,1
81,275.295000,275.297000,1,1
72,275.954000,275.956000,1,1
81,278.606000,278.608000,1,1
62,279.257000,279.259000,1,1
81,281.909000,281.911000,1,1
59,282.568000,282.570000,1,1
81,285.220000,285.222000,1,1
43,285.879000,285.881000,1,1
81,288.531000,288.533000,1,1
67,289.182000,289.184000,1,1
81,291.834000,291.836000,1,1
46,292.485000,292.487000,1,1
81,295.137000,295.139000,1,1
52,295.787000,295.789000,1,1
81,298.440000,298.442000,1,1
102,299.090000,299.092000,1,1
100,299.974000,299.976000,1,1
101,NaN,NaN,1,MISSING
103,301.742000,301.744000,1,1
79,302.693000,302.695000,1,1
81,305.345000,305.347000,1,1
65,306.004000,306.006000,1,1
81,308.657000,308.658000,1,1
78,309.315000,309.317000,1,1
81,311.968000,311.970000,1,1
43,312.618000,312.620000,1,1
81,315.270000,315.272000,1,1
44,315.963000,315.965000,1,1
81,318.615000,318.617000,1,1
102,319.274000,319.276000,1,1
100,320.441000,320.443000,1,1
201,320.852000,320.854000,1,0
101,NaN,NaN,1,MISSING
103,321.926000,321.928000,1,1
102,322.585000,322.587000,1,1
100,322.818000,322.820000,1,1
201,323.262000,323.264000,1,0
101,NaN,NaN,1,MISSING
103,325.237000,325.239000,1,1
52,325.888000,325.890000,1,1
81,328.540000,328.542000,1,1
69,329.190000,329.192000,1,1
81,331.843000,331.845000,1,1
45,332.501000,332.503000,1,1
81,335.154000,335.156000,1,1
48,335.804000,335.806000,1,1
81,338.456000,338.458000,1,1
102,339.115000,339.117000,1,1
100,340.450000,340.452000,1,1
101,NaN,NaN,1,MISSING
103,341.768000,341.770000,1,1
62,342.727000,342.729000,1,1
81,345.379000,345.381000,1,1
75,346.038000,346.040000,1,1
81,348.690000,348.692000,1,1
42,349.332000,349.334000,1,1
81,351.984000,351.986000,1,1
53,352.635000,352.637000,1,1
81,355.287000,355.289000,1,1
47,355.938000,355.940000,1,1
81,358.590000,358.592000,1,1
76,359.241000,359.242000,1,1
81,361.893000,361.895000,1,1
78,362.552000,362.554000,1,1
81,365.204000,365.206000,1,1
57,365.854000,365.856000,1,1
81,368.507000,368.509000,1,1
61,369.157000,369.159000,1,1
81,371.809000,371.811000,1,1
66,372.468000,372.470000,1,1
81,375.120000,375.122000,1,1
53,375.771000,375.773000,1,1
81,378.423000,378.425000,1,1
54,379.082000,379.084000,1,1
81,381.734000,381.736000,1,1
76,382.393000,382.395000,1,1
81,385.045000,385.047000,1,1
60,385.696000,385.698000,1,1
81,388.348000,388.350000,1,1
46,389.007000,389.009000,1,1
81,391.659000,391.661000,1,1
102,392.318000,392.320000,1,1
100,392.668000,392.670000,1,1
201,393.012000,393.014000,1,0
101,NaN,NaN,1,MISSING
103,394.970000,394.972000,1,1
74,395.629000,395.631000,1,1
81,398.282000,398.283000,1,1
70,398.932000,398.934000,1,1
81,401.584000,401.586000,1,1
80,402.243000,402.245000,1,1
81,404.895000,404.897000,1,1
102,405.546000,405.548000,1,1
100,405.779000,405.781000,1,1
201,406.239000,406.241000,1,0
101,NaN,NaN,1,MISSING
103,408.198000,408.200000,1,1
64,408.857000,408.859000,1,1
81,411.509000,411.511000,1,1
54,412.160000,412.162000,1,1
81,414.812000,414.814000,1,1
