trigger,time_s
37,0.503527
81,3.153527
4,3.695986
81,6.345986
1,6.877466
81,9.527466
25,10.064105
81,12.714105
102,13.244191
100,13.727524
101,14.994191
103,15.894191
26,16.436221
81,19.086221
39,19.625618
81,22.275618
29,22.816970
81,25.466970
23,25.986171
81,28.636171
35,29.161844
81,31.811844
12,32.331387
81,34.981387
10,35.513385
81,38.163385
102,38.699292
100,38.915959
101,40.182626
103,41.349292
102,41.870453
100,42.103786
101,43.370453
103,44.520453
35,45.063823
81,47.713823
40,48.249984
81,50.899984
32,51.436664
81,54.086664
102,54.627229
100,55.793896
101,57.060562
103,57.277229
3,57.831291
81,60.481291
24,61.021512
81,63.671512
5,64.191918
81,66.841918
102,67.364443
100,68.231110
101,69.497777
103,70.014443
36,70.558866
81,73.208866
33,73.738437
81,76.388437
16,76.935315
81,79.585315
19,80.122407
81,82.772407
102,83.304262
100,84.637595
101,85.904262
103,85.954262
21,86.500506
81,89.150506
28,89.674492
81,92.324492
23,92.852551
81,95.502551
32,96.030896
81,98.680896
102,99.214175
100,100.097508
101,101.364175
103,101.864175
5,102.417126
81,105.067126
26,105.616295
81,108.266295
7,108.815825
81,111.465825
36,112.007738
81,114.657738
38,115.174733
81,117.824733
14,118.352845
81,121.002845
10,121.539584
81,124.189584
31,124.742189
81,127.392189
30,127.923407
81,130.573407
30,131.112096
81,133.762096
15,134.312704
81,136.962704
22,137.493027
81,140.143027
27,140.689617
81,143.339617
38,143.880084
81,146.530084
34,147.067764
81,149.717764
31,150.259623
81,152.909623
18,153.445683
81,156.095683
17,156.616869
81,159.266869
37,159.819412
81,162.469412
6,163.024868
81,165.674868
28,166.224861
81,168.874861
102,169.405679
100,169.872346
101,171.139013
103,172.055679
102,172.597703
100,172.831036
101,174.097703
103,175.247703
2,175.795200
81,178.445200
8,178.964356
81,181.614356
6,182.162601
81,184.812601
39,185.332663
81,187.982663
102,188.536923
100,188.886923
101,190.153590
103,191.186923
21,191.713248
81,194.363248
3,194.918441
81,197.568441
8,198.094390
81,200.744390
2,201.282472
81,203.932472
34,204.482398
81,207.132398
22,207.688566
81,210.338566
13,210.883461
81,213.533461
20,214.083516
81,216.733516
17,217.265855
81,219.915855
4,220.462550
81,223.112550
1,223.644602
81,226.294602
13,226.848463
81,229.498463
20,230.046070
81,232.696070
12,233.227913
81,235.877913
24,236.425948
81,239.075948
7,239.595275
81,242.245275
27,242.798945
81,245.448945
14,245.993337
81,248.643337
40,249.173091
81,251.823091
9,252.365636
81,255.015636
