trigger,start_s,end_s,allowed,match
3,25.570000,25.572000,1,1
81,28.223000,28.225000,1,1
2,28.881000,28.883000,1,1
150,30.893000,30.895000,1,NaN
81,NaN,NaN,1,MISSING
40,33.577000,33.579000,1,1
81,36.229000,36.231000,1,1
17,36.896000,36.898000,1,1
150,38.591000,38.593000,1,NaN
81,NaN,NaN,1,MISSING
26,41.283000,41.285000,1,1
81,43.936000,43.938000,1,1
31,44.595000,44.597000,1,1
150,46.206000,46.207000,1,NaN
81,NaN,NaN,1,MISSING
35,48.890000,48.892000,1,1
81,51.542000,51.544000,1,1
28,52.201000,52.203000,1,1
81,54.853000,54.855000,1,1
1,55.512000,55.514000,1,1
150,55.555000,55.557000,1,NaN
81,NaN,NaN,1,MISSING
102,58.239000,58.241000,1,1
100,58.556000,58.558000,1,1
201,59.017000,59.019000,1,0
150,60.185000,60.187000,1,NaN
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
21,62.877000,62.878000,1,1
81,65.529000,65.531000,1,1
23,66.188000,66.190000,1,1
150,66.248000,66.250000,1,NaN
81,NaN,NaN,1,MISSING
102,68.932000,68.934000,1,1
100,69.499000,69.501000,1,1
201,69.942000,69.944000,1,0
101,NaN,NaN,1,MISSING
103,71.584000,71.586000,1,1
18,72.243000,72.245000,1,1
150,74.855000,74.857000,1,NaN
81,NaN,NaN,1,MISSING
22,77.539000,77.541000,1,1
81,80.191000,80.193000,1,1
40,80.842000,80.844000,1,1
81,83.494000,83.496000,1,1
21,84.144000,84.146000,1,1
150,86.189000,86.191000,1,NaN
81,NaN,NaN,1,MISSING
32,88.873000,88.875000,1,1
81,91.525000,91.527000,1,1
12,92.176000,92.178000,1,1
81,94.828000,94.830000,1,1
35,95.479000,95.481000,1,1
81,98.131000,98.133000,1,1
9,98.790000,98.792000,1,1
81,101.442000,101.444000,1,1
102,102.101000,102.103000,1,1
100,102.768000,102.770000,1,1
201,103.295000,103.297000,1,0
101,NaN,NaN,1,MISSING
103,104.753000,104.755000,1,1
3,105.412000,105.414000,1,1
81,108.064000,108.066000,1,1
19,108.715000,108.717000,1,1
81,111.367000,111.369000,1,1
20,112.018000,112.020000,1,1
81,114.670000,114.672000,1,1
14,115.320000,115.322000,1,1
81,117.973000,117.975000,1,1
15,118.623000,118.625000,1,1
81,121.275000,121.277000,1,1
34,121.926000,121.928000,1,1
81,124.578000,124.580000,1,1
102,125.237000,125.239000,1,1
100,125.754000,125.756000,1,1
201,126.131000,126.133000,1,0
101,NaN,NaN,1,MISSING
103,127.889000,127.891000,1,1
33,128.540000,128.542000,1,1
150,131.151000,131.153000,1,NaN
81,NaN,NaN,1,MISSING
102,133.836000,133.838000,1,1
100,134.069000,134.071000,1,1
201,134.564000,134.566000,1,0
101,NaN,NaN,1,MISSING
103,136.488000,136.490000,1,1
