trigger,time_s
22,0.537722
81,3.187722
15,3.724842
81,6.374842
7,6.930558
81,9.580558
22,10.100459
81,12.750459
6,13.291419
81,15.941419
5,16.473146
81,19.123146
29,19.671888
81,22.321888
26,22.845536
81,25.495536
7,26.047068
81,28.697068
17,29.235492
81,31.885492
30,32.438248
81,35.088248
9,35.624001
81,38.274001
11,38.807887
81,41.457887
24,42.006112
81,44.656112
34,45.212144
81,47.862144
23,48.393600
81,51.043600
13,51.599024
81,54.249024
23,54.802852
81,57.452852
5,57.976626
81,60.626626
16,61.167647
81,63.817647
102,64.362508
100,64.662508
101,65.929175
103,67.012508
11,67.566887
81,70.216887
21,70.760180
81,73.410180
39,73.932182
81,76.582182
16,77.118764
81,79.768764
32,80.305175
81,82.955175
14,83.491851
81,86.141851
20,86.696861
81,89.346861
19,89.877525
81,92.527525
17,93.053143
81,95.703143
4,96.240693
81,98.890693
102,99.433006
100,100.349673
101,101.616340
103,102.083006
102,102.637237
100,102.870571
101,104.137237
103,105.287237
10,105.827184
81,108.477184
9,109.004564
81,111.654564
2,112.208422
81,114.858422
36,115.394758
81,118.044758
12,118.588457
81,121.238457
33,121.774165
81,124.424165
37,124.949511
81,127.599511
40,128.143879
81,130.793879
4,131.341371
81,133.991371
102,134.515669
100,135.199003
101,136.465669
103,137.165669
26,137.700733
81,140.350733
35,140.881872
81,143.531872
102,144.055368
100,144.388701
101,145.655368
103,146.705368
102,147.230889
100,148.047555
101,149.314222
103,149.880889
38,150.436056
81,153.086056
8,153.638091
81,156.288091
25,156.820050
81,159.470050
27,160.016295
81,162.666295
28,163.184641
81,165.834641
37,166.387909
81,169.037909
24,169.576063
81,172.226063
18,172.775540
81,175.425540
28,175.953245
81,178.603245
20,179.134956
81,181.784956
2,182.315545
81,184.965545
18,185.521109
81,188.171109
31,188.704954
81,191.354954
40,191.891608
81,194.541608
19,195.096514
81,197.746514
30,198.299309
81,200.949309
102,201.481776
100,202.265109
101,203.531776
103,204.131776
36,204.660737
81,207.310737
102,207.859685
100,208.409685
101,209.676352
103,210.509685
15,211.030651
81,213.680651
32,214.213005
81,216.863005
12,217.414729
81,220.064729
1,220.618101
81,223.268101
6,223.794107
81,226.444107
102,226.963923
100,227.663923
101,228.930589
103,229.613923
102,230.162098
100,231.212098
101,232.478765
103,232.812098
3,233.353636
81,236.003636
25,236.529803
81,239.179803
13,239.716705
81,242.366705
29,242.886229
81,245.536229
33,246.080899
81,248.730899
1,249.268635
81,251.918635
27,252.463487
81,255.113487
