trigger,start_s,end_s,allowed,match
22,24.430000,24.432000,1,1
81,27.082000,27.084000,1,1
15,27.741000,27.743000,1,1
81,30.393000,30.395000,1,1
7,31.052000,31.054000,1,1
81,33.704000,33.706000,1,1
22,34.372000,34.374000,1,1
81,37.024000,37.026000,1,1
6,37.699000,37.701000,1,1
81,40.352000,40.354000,1,1
5,41.002000,41.004000,1,1
81,43.654000,43.656000,1,1
29,44.313000,44.315000,1,1
81,46.965000,46.967000,1,1
26,47.616000,47.618000,1,1
81,50.268000,50.270000,1,1
7,50.927000,50.929000,1,1
81,53.579000,53.581000,1,1
17,54.230000,54.232000,1,1
81,56.882000,56.884000,1,1
30,57.541000,57.543000,1,1
81,60.193000,60.195000,1,1
9,60.852000,60.854000,1,1
81,63.504000,63.506000,1,1
11,64.155000,64.157000,1,1
81,66.807000,66.809000,1,1
24,67.458000,67.460000,1,1
81,70.110000,70.112000,1,1
34,70.769000,70.771000,1,1
81,73.421000,73.423000,1,1
23,74.071000,74.073000,1,1
81,76.724000,76.726000,1,1
13,77.383000,77.385000,1,1
81,80.035000,80.037000,1,1
23,80.685000,80.687000,1,1
81,83.338000,83.340000,1,1
5,83.996000,83.998000,1,1
81,86.649000,86.651000,1,1
16,87.299000,87.301000,1,1
81,89.951000,89.953000,1,1
102,90.610000,90.612000,1,1
100,90.911000,90.913000,1,1
101,NaN,NaN,1,MISSING
103,93.263000,93.265000,1,1
11,94.222000,94.224000,1,1
81,96.874000,96.876000,1,1
21,97.524000,97.526000,1,1
81,100.177000,100.179000,1,1
39,100.836000,100.838000,1,1
81,103.488000,103.490000,1,1
16,104.138000,104.140000,1,1
81,106.791000,106.793000,1,1
32,107.449000,107.451000,1,1
81,110.102000,110.104000,1,1
14,110.761000,110.763000,1,1
81,113.413000,113.415000,1,1
20,114.072000,114.074000,1,1
81,116.724000,116.726000,1,1
19,117.383000,117.385000,1,1
81,120.035000,120.037000,1,1
17,120.694000,120.696000,1,1
81,123.346000,123.348000,1,1
4,123.997000,123.999000,1,1
81,126.649000,126.651000,1,1
102,127.299000,127.301000,1,1
100,128.217000,128.219000,1,1
101,NaN,NaN,1,MISSING
103,129.952000,129.954000,1,1
102,130.902000,130.904000,1,1
100,131.136000,131.138000,1,1
101,NaN,NaN,1,MISSING
103,133.555000,133.557000,1,1
10,134.505000,134.507000,1,1
81,137.158000,137.160000,1,1
9,137.817000,137.818000,1,1
81,140.469000,140.471000,1,1
2,141.128000,141.130000,1,1
81,143.780000,143.782000,1,1
36,144.439000,144.441000,1,1
81,147.091000,147.093000,1,1
12,147.750000,147.752000,1,1
81,150.402000,150.404000,1,1
33,151.061000,151.063000,1,1
81,153.713000,153.715000,1,1
37,154.364000,154.366000,1,1
81,157.016000,157.018000,1,1
40,157.675000,157.677000,1,1
81,160.327000,160.329000,1,1
4,160.986000,160.988000,1,1
81,163.638000,163.640000,1,1
102,164.289000,164.291000,1,1
100,164.973000,164.975000,1,1
201,165.400000,165.402000,1,0
101,NaN,NaN,1,MISSING
103,166.941000,166.943000,1,1
26,167.608000,167.610000,1,1
81,170.260000,170.262000,1,1
35,170.928000,170.930000,1,1
81,173.588000,173.590000,1,1
102,174.247000,174.249000,1,1
100,174.581000,174.583000,1,1
201,174.941000,174.943000,1,0
101,NaN,NaN,1,MISSING
103,176.908000,176.910000,1,1
102,177.566000,177.568000,1,1
100,178.384000,178.386000,1,1
201,178.861000,178.863000,1,0
101,NaN,NaN,1,MISSING
103,180.219000,180.221000,1,1
38,180.869000,180.871000,1,1
81,183.521000,183.523000,1,1
8,184.172000,184.174000,1,1
81,186.824000,186.826000,1,1
25,187.475000,187.477000,1,1
81,190.127000,190.129000,1,1
27,190.778000,190.779000,1,1
81,193.430000,193.432000,1,1
28,194.080000,194.082000,1,1
81,196.732000,196.734000,1,1
37,197.383000,197.385000,1,1
