trigger,start_s,end_s,allowed,match
62,339.193000,339.195000,1,1
81,341.846000,341.848000,1,1
79,342.504000,342.506000,1,1
81,345.157000,345.159000,1,1
102,345.816000,345.818000,1,1
100,346.149000,346.151000,1,1
101,NaN,NaN,1,MISSING
103,348.468000,348.470000,1,1
78,349.427000,349.429000,1,1
81,352.079000,352.081000,1,1
76,352.738000,352.740000,1,1
81,355.390000,355.392000,1,1
46,356.049000,356.051000,1,1
81,358.701000,358.703000,1,1
71,359.360000,359.362000,1,1
81,362.012000,362.014000,1,1
53,362.663000,362.665000,1,1
81,365.315000,365.317000,1,1
53,365.974000,365.976000,1,1
81,368.626000,368.628000,1,1
48,369.285000,369.287000,1,1
81,371.937000,371.939000,1,1
54,372.596000,372.598000,1,1
81,375.249000,375.251000,1,1
70,375.899000,375.901000,1,1
81,378.551000,378.553000,1,1
77,379.202000,379.204000,1,1
81,381.854000,381.856000,1,1
68,382.505000,382.507000,1,1
81,385.157000,385.159000,1,1
66,385.807000,385.809000,1,1
81,388.460000,388.462000,1,1
75,389.119000,389.120000,1,1
81,391.771000,391.773000,1,1
102,392.596000,392.598000,1,1
100,392.897000,392.899000,1,1
201,393.341000,393.343000,1,0
101,NaN,NaN,1,MISSING
103,395.249000,395.251000,1,1
41,395.899000,395.901000,1,1
81,398.551000,398.553000,1,1
102,399.210000,399.212000,1,1
100,399.911000,399.913000,1,1
201,400.371000,400.373000,1,0
101,NaN,NaN,1,MISSING
103,401.863000,401.864000,1,1
59,402.521000,402.523000,1,1
81,405.174000,405.176000,1,1
43,405.824000,405.826000,1,1
81,408.476000,408.478000,1,1
42,409.127000,409.129000,1,1
81,411.779000,411.781000,1,1
55,412.430000,412.432000,1,1
81,415.082000,415.084000,1,1
44,415.741000,415.743000,1,1
81,418.393000,418.395000,1,1
60,419.052000,419.054000,1,1
81,421.704000,421.706000,1,1
56,422.363000,422.365000,1,1
81,425.015000,425.017000,1,1
67,425.674000,425.676000,1,1
81,428.326000,428.328000,1,1
74,428.977000,428.979000,1,1
81,431.629000,431.631000,1,1
70,432.280000,432.282000,1,1
81,434.932000,434.934000,1,1
51,435.582000,435.584000,1,1
81,438.235000,438.237000,1,1
52,438.894000,438.895000,1,1
81,441.546000,441.548000,1,1
41,442.196000,442.198000,1,1
81,444.848000,444.850000,1,1
58,445.507000,445.509000,1,1
81,448.160000,448.162000,1,1
69,448.818000,448.820000,1,1
81,451.471000,451.473000,1,1
49,452.130000,452.132000,1,1
81,454.782000,454.784000,1,1
55,455.432000,455.434000,1,1
81,458.085000,458.087000,1,1
72,458.735000,458.737000,1,1
81,461.387000,461.389000,1,1
65,462.046000,462.048000,1,1
81,464.698000,464.700000,1,1
69,465.357000,465.359000,1,1
81,468.010000,468.012000,1,1
51,468.660000,468.662000,1,1
81,471.312000,471.314000,1,1
66,471.971000,471.973000,1,1
81,474.623000,474.625000,1,1
102,475.282000,475.284000,1,1
100,475.966000,475.968000,1,1
201,476.309000,476.311000,1,0
201,476.977000,476.979000,1,0
101,NaN,NaN,1,MISSING
103,477.935000,477.937000,1,1
52,478.602000,478.604000,1,1
81,481.254000,481.256000,1,1
45,481.921000,481.923000,1,1
81,484.582000,484.584000,1,1
62,485.232000,485.234000,1,1
81,487.885000,487.886000,1,1
64,488.535000,488.537000,1,1
81,491.187000,491.189000,1,1
64,491.838000,491.840000,1,1
81,494.490000,494.492000,1,1
102,495.149000,495.151000,1,1
100,496.200000,496.202000,1,1
101,NaN,NaN,1,MISSING
103,497.801000,497.803000,1,1
47,498.760000,498.762000,1,1
81,501.413000,501.414000,1,1
80,502.063000,502.065000,1,1
81,504.715000,504.717000,1,1
44,505.366000,505.368000,1,1
81,508.018000,508.020000,1,1
102,508.669000,508.671000,1,1
100,509.453000,509.455000,1,1
101,NaN,NaN,1,MISSING
103,511.321000,511.323000,1,1
65,512.280000,512.282000,1,1
81,514.932000,514.934000,1,1
102,515.583000,515.585000,1,1
100,516.400000,516.402000,1,1
101,NaN,NaN,1,MISSING
103,518.235000,518.237000,1,1
56,519.194000,519.196000,1,1
81,521.846000,521.848000,1,1
102,522.497000,522.499000,1,1
100,522.730000,522.732000,1,1
201,523.091000,523.093000,1,0
101,NaN,NaN,1,MISSING
103,525.149000,525.151000,1,1
63,525.808000,525.810000,1,1
81,528.460000,528.462000,1,1
72,529.119000,529.121000,1,1
81,531.771000,531.773000,1,1
47,532.430000,532.432000,1,1
81,535.082000,535.084000,1,1
57,535.733000,535.735000,1,1
81,538.385000,538.387000,1,1
73,539.036000,539.038000,1,1
81,541.688000,541.690000,1,1
76,542.338000,542.340000,1,1
81,544.991000,544.993000,1,1
80,545.650000,545.652000,1,1
81,548.302000,548.304000,1,1
77,548.952000,548.954000,1,1
81,551.605000,551.607000,1,1
45,552.263000,552.265000,1,1
81,554.916000,554.918000,1,1
59,555.666000,555.668000,1,1
81,558.318000,558.320000,1,1
102,558.969000,558.971000,1,1
100,559.519000,559.521000,1,1
201,559.996000,559.998000,1,0
101,NaN,NaN,1,MISSING
103,561.621000,561.623000,1,1
58,562.280000,562.282000,1,1
81,564.932000,564.934000,1,1
46,565.583000,565.585000,1,1
81,568.235000,568.237000,1,1
67,568.886000,568.888000,1,1
81,571.538000,571.540000,1,1
61,572.197000,572.199000,1,1
81,574.849000,574.851000,1,1
57,575.508000,575.510000,1,1
81,578.160000,578.162000,1,1
50,578.819000,578.821000,1,1
81,581.471000,581.473000,1,1
68,582.130000,582.132000,1,1
81,584.782000,584.784000,1,1
60,585.441000,585.443000,1,1
81,588.093000,588.095000,1,1
42,588.752000,588.754000,1,1
81,591.405000,591.406000,1,1
49,592.055000,592.057000,1,1
81,594.707000,594.709000,1,1
73,595.366000,595.368000,1,1
81,598.018000,598.020000,1,1
102,598.669000,598.671000,1,1
201,599.362000,599.364000,1,0
100,599.586000,599.588000,1,1
201,600.547000,600.549000,1,0
101,NaN,NaN,1,MISSING
103,601.321000,601.323000,1,1
63,601.980000,601.982000,1,1
81,604.632000,604.634000,1,1
