trigger,start_s,end_s,allowed,match
53,NaN,NaN,1,MISSING
81,312.110000,312.112000,1,1
17,312.756000,312.758000,1,0
66,NaN,NaN,1,MISSING
81,315.413000,315.415000,1,1
31,316.054000,316.056000,1,0
60,NaN,NaN,1,MISSING
81,318.716000,318.718000,1,1
1,319.360000,319.362000,1,0
66,NaN,NaN,1,MISSING
81,322.018000,322.020000,1,1
59,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
70,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,322.666000,322.668000,1,1
100,322.994000,322.996000,1,1
201,323.471000,323.473000,1,0
101,NaN,NaN,1,MISSING
103,325.329000,325.331000,1,1
23,325.980000,325.982000,1,0
51,NaN,NaN,1,MISSING
81,328.641000,328.643000,1,1
18,329.287000,329.289000,1,0
61,NaN,NaN,1,MISSING
81,331.952000,331.954000,1,1
21,332.598000,332.600000,1,0
42,NaN,NaN,1,MISSING
81,335.254000,335.256000,1,1
33,335.900000,335.902000,1,0
102,NaN,NaN,1,MISSING
100,NaN,NaN,1,MISSING
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
102,NaN,NaN,1,MISSING
100,NaN,NaN,1,MISSING
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
80,NaN,NaN,1,MISSING
81,338.557000,338.559000,1,1
32,339.203000,339.205000,1,0
57,NaN,NaN,1,MISSING
81,341.860000,341.862000,1,1
12,342.508000,342.510000,1,0
75,NaN,NaN,1,MISSING
81,345.171000,345.173000,1,1
51,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
56,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,345.822000,345.824000,1,1
100,346.581000,346.583000,1,1
201,347.090000,347.092000,1,0
150,348.074000,348.076000,1,NaN
6,350.727000,350.729000,1,0
150,352.462000,352.464000,1,NaN
38,355.140000,355.142000,1,0
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
79,NaN,NaN,1,MISSING
81,357.798000,357.800000,1,1
6,358.446000,358.448000,1,0
41,NaN,NaN,1,MISSING
81,361.109000,361.111000,1,1
26,361.760000,361.762000,1,0
67,NaN,NaN,1,MISSING
81,364.421000,364.422000,1,1
19,365.071000,365.073000,1,0
150,367.374000,367.376000,1,NaN
37,370.041000,370.043000,1,0
55,NaN,NaN,1,MISSING
81,372.702000,372.704000,1,1
33,373.354000,373.356000,1,0
150,373.905000,373.907000,1,NaN
70,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
72,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
45,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
59,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
49,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
57,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
72,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
50,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
58,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
41,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,376.688000,376.690000,1,1
100,377.165000,377.166000,1,1
201,377.641000,377.643000,1,0
101,NaN,NaN,1,MISSING
103,379.350000,379.352000,1,1
24,379.995000,379.997000,1,0
150,380.561000,380.563000,1,NaN
1,383.232000,383.234000,1,0
150,385.706000,385.708000,1,NaN
36,388.376000,388.378000,1,0
150,390.694000,390.696000,1,NaN
53,484.371000,484.373000,1,0
44,NaN,NaN,1,MISSING
81,487.023000,487.025000,1,1
66,487.682000,487.684000,1,0
150,488.042000,488.044000,1,NaN
69,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
80,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
55,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
74,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
64,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
73,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
75,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
73,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
43,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
76,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
68,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,NaN,NaN,1,MISSING
100,NaN,NaN,1,MISSING
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
54,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,NaN,NaN,1,MISSING
100,NaN,NaN,1,MISSING
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
77,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
43,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
68,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,NaN,NaN,1,MISSING
100,NaN,NaN,1,MISSING
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
54,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
46,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
60,490.726000,490.728000,1,1
150,492.904000,492.906000,1,NaN
66,495.589000,495.591000,1,0
150,497.817000,497.819000,1,NaN
59,500.501000,500.503000,1,0
150,502.312000,502.314000,1,NaN
70,504.988000,504.990000,1,0
81,507.640000,507.642000,1,1
42,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
48,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
78,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,508.299000,508.301000,1,1
100,509.100000,509.102000,1,1
101,NaN,NaN,1,MISSING
103,510.951000,510.953000,1,1
51,511.911000,511.913000,1,0
150,512.287000,512.289000,1,NaN
76,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
65,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
62,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
71,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
52,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
67,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
61,514.963000,514.965000,1,1
150,517.224000,517.226000,1,NaN
42,519.901000,519.903000,1,0
81,522.553000,522.555000,1,1
63,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
63,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
46,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
52,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
102,523.203000,523.205000,1,1
100,523.720000,523.722000,1,1
201,524.180000,524.182000,1,0
150,525.348000,525.350000,1,NaN
102,528.024000,528.026000,1,0
100,528.691000,528.693000,1,0
201,529.068000,529.070000,1,0
150,530.203000,530.205000,1,NaN
80,532.886000,532.888000,1,0
150,534.964000,534.966000,1,NaN
57,537.649000,537.651000,1,0
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
79,NaN,NaN,1,MISSING
81,540.301000,540.303000,1,1
75,540.952000,540.954000,1,0
58,NaN,NaN,1,MISSING
81,543.604000,543.606000,1,1
51,544.263000,544.265000,1,0
150,545.256000,545.258000,1,NaN
65,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
62,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
74,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
44,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
78,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
69,NaN,NaN,1,MISSING
81,NaN,NaN,1,MISSING
56,547.932000,547.934000,1,1
150,547.975000,547.977000,1,NaN
102,550.660000,550.662000,1,0
100,551.127000,551.129000,1,0
201,551.520000,551.522000,1,0
103,553.312000,553.314000,1,0
79,553.971000,553.973000,1,0
150,556.482000,556.484000,1,NaN
41,559.167000,559.169000,1,0
81,561.819000,561.821000,1,1
67,562.470000,562.472000,1,NaN
81,565.122000,565.124000,1,NaN
55,565.772000,565.774000,1,NaN
81,568.425000,568.427000,1,NaN
70,569.083000,569.085000,1,NaN
81,571.736000,571.738000,1,NaN
72,572.386000,572.388000,1,NaN
81,575.038000,575.040000,1,NaN
45,575.697000,575.699000,1,NaN
81,578.350000,578.352000,1,NaN
59,579.000000,579.002000,1,NaN
81,581.652000,581.654000,1,NaN
49,582.303000,582.305000,1,NaN
81,584.955000,584.957000,1,NaN
57,585.606000,585.608000,1,NaN
81,588.258000,588.260000,1,NaN
72,588.917000,588.919000,1,NaN
81,591.569000,591.571000,1,NaN
50,592.219000,592.221000,1,NaN
81,594.872000,594.874000,1,NaN
58,595.522000,595.524000,1,NaN
81,598.174000,598.176000,1,NaN
41,598.825000,598.827000,1,NaN
81,601.477000,601.479000,1,NaN
102,602.136000,602.138000,1,NaN
150,602.512000,602.514000,1,NaN
44,605.197000,605.199000,1,NaN
81,607.849000,607.851000,1,NaN
69,608.508000,608.510000,1,NaN
81,611.160000,611.162000,1,NaN
80,611.811000,611.813000,1,NaN
81,614.463000,614.465000,1,NaN
55,615.114000,615.116000,1,NaN
81,617.766000,617.768000,1,NaN
74,618.416000,618.418000,1,NaN
81,621.069000,621.071000,1,NaN
64,621.719000,621.721000,1,NaN
81,624.371000,624.373000,1,NaN
73,625.022000,625.024000,1,NaN
150,625.165000,625.167000,1,NaN
75,627.841000,627.843000,1,NaN
150,628.334000,628.336000,1,NaN
73,631.010000,631.012000,1,NaN
81,633.662000,633.664000,1,NaN
43,634.313000,634.315000,1,NaN
150,635.006000,635.008000,1,NaN
76,637.691000,637.693000,1,NaN
150,639.385000,639.387000,1,NaN
68,642.061000,642.063000,1,NaN
150,643.138000,643.140000,1,NaN
102,645.823000,645.825000,1,NaN
