trigger,start_s,end_s,allowed,match
37,436.071000,436.073000,1,1
81,438.724000,438.726000,1,1
4,439.391000,439.393000,1,1
81,442.060000,442.062000,1,1
1,442.710000,442.712000,1,1
81,445.363000,445.365000,1,1
25,446.013000,446.015000,1,1
81,448.665000,448.667000,1,1
102,449.324000,449.326000,1,1
100,449.808000,449.810000,1,1
201,450.218000,450.220000,1,0
101,NaN,NaN,1,MISSING
103,451.976000,451.978000,1,1
26,452.635000,452.637000,1,1
81,455.288000,455.290000,1,1
39,455.938000,455.940000,1,1
81,458.590000,458.592000,1,1
29,459.249000,459.251000,1,1
81,461.901000,461.903000,1,1
23,462.552000,462.554000,1,1
81,465.204000,465.206000,1,1
35,465.863000,465.865000,1,1
81,468.515000,468.517000,1,1
12,469.166000,469.168000,1,1
81,471.818000,471.820000,1,1
10,472.469000,472.471000,1,1
81,475.121000,475.123000,1,1
102,475.771000,475.773000,1,1
100,475.988000,475.990000,1,1
201,476.381000,476.383000,1,0
101,NaN,NaN,1,MISSING
103,478.424000,478.426000,1,1
102,479.082000,479.084000,1,1
100,479.316000,479.318000,1,1
201,479.693000,479.695000,1,0
101,NaN,NaN,1,MISSING
103,481.735000,481.737000,1,1
35,482.394000,482.396000,1,1
81,485.046000,485.048000,1,1
40,485.688000,485.690000,1,1
81,488.340000,488.342000,1,1
32,488.991000,488.993000,1,1
81,491.643000,491.645000,1,1
102,492.294000,492.296000,1,1
100,493.461000,493.463000,1,1
101,NaN,NaN,1,MISSING
103,494.946000,494.948000,1,1
3,495.905000,495.907000,1,1
81,498.557000,498.559000,1,1
24,499.216000,499.218000,1,1
81,501.868000,501.870000,1,1
5,502.510000,502.512000,1,1
81,505.163000,505.165000,1,1
102,505.813000,505.815000,1,1
100,506.681000,506.683000,1,1
101,NaN,NaN,1,MISSING
103,508.465000,508.467000,1,1
36,509.425000,509.427000,1,1
81,512.077000,512.079000,1,1
33,512.736000,512.738000,1,1
81,515.388000,515.390000,1,1
16,516.038000,516.040000,1,1
81,518.691000,518.693000,1,1
19,519.341000,519.343000,1,1
81,521.993000,521.995000,1,1
102,522.644000,522.646000,1,1
100,523.978000,523.980000,1,1
101,NaN,NaN,1,MISSING
103,525.296000,525.298000,1,1
21,526.255000,526.257000,1,1
81,528.908000,528.909000,1,1
28,529.566000,529.568000,1,1
81,532.219000,532.221000,1,1
23,532.869000,532.871000,1,1
81,535.521000,535.523000,1,1
32,536.172000,536.174000,1,1
81,538.824000,538.826000,1,1
102,539.475000,539.477000,1,1
100,540.359000,540.361000,1,1
101,NaN,NaN,1,MISSING
103,542.127000,542.129000,1,1
5,543.078000,543.080000,1,1
81,545.730000,545.732000,1,1
26,546.380000,546.382000,1,1
81,549.033000,549.035000,1,1
7,549.692000,549.694000,1,1
81,552.344000,552.346000,1,1
36,553.003000,553.005000,1,1
81,555.655000,555.657000,1,1
38,556.305000,556.307000,1,1
81,558.958000,558.960000,1,1
14,559.608000,559.610000,1,1
81,562.260000,562.262000,1,1
10,562.911000,562.913000,1,1
81,565.563000,565.565000,1,1
31,566.214000,566.216000,1,1
81,568.866000,568.868000,1,1
30,569.517000,569.518000,1,1
81,572.169000,572.171000,1,1
30,572.819000,572.821000,1,1
81,575.471000,575.473000,1,1
15,576.122000,576.124000,1,1
81,578.774000,578.776000,1,1
22,579.425000,579.427000,1,1
81,582.077000,582.079000,1,1
27,582.728000,582.730000,1,1
81,585.380000,585.382000,1,1
38,586.030000,586.032000,1,1
81,588.683000,588.685000,1,1
34,589.341000,589.343000,1,1
81,591.994000,591.996000,1,1
31,592.644000,592.646000,1,1
81,595.296000,595.298000,1,1
18,595.955000,595.957000,1,1
81,598.608000,598.610000,1,1
17,599.316000,599.318000,1,1
81,601.969000,601.971000,1,1
37,602.619000,602.621000,1,1
81,605.271000,605.273000,1,1
6,605.922000,605.924000,1,1
81,608.574000,608.576000,1,1
28,609.233000,609.235000,1,1
81,611.885000,611.887000,1,1
102,612.536000,612.538000,1,1
100,613.003000,613.005000,1,1
201,613.346000,613.348000,1,0
101,NaN,NaN,1,MISSING
103,615.188000,615.190000,1,1
102,615.839000,615.841000,1,1
100,616.072000,616.074000,1,1
201,616.482000,616.484000,1,0
101,NaN,NaN,1,MISSING
103,618.491000,618.493000,1,1
2,619.150000,619.152000,1,1
81,621.802000,621.804000,1,1
8,622.461000,622.463000,1,1
81,625.113000,625.115000,1,1
6,625.764000,625.766000,1,1
81,628.416000,628.418000,1,1
39,629.075000,629.077000,1,1
81,631.727000,631.729000,1,1
102,632.386000,632.388000,1,1
100,632.736000,632.738000,1,1
201,633.213000,633.215000,1,0
101,NaN,NaN,1,MISSING
103,635.038000,635.040000,1,1
21,635.697000,635.699000,1,1
81,638.349000,638.351000,1,1
3,639.000000,639.002000,1,1
81,641.652000,641.654000,1,1
8,642.302000,642.304000,1,1
81,644.955000,644.957000,1,1
2,645.614000,645.616000,1,1
81,648.266000,648.268000,1,1
34,648.916000,648.918000,1,1
81,651.569000,651.571000,1,1
22,652.219000,652.221000,1,1
81,654.871000,654.873000,1,1
13,655.530000,655.532000,1,1
81,658.182000,658.184000,1,1
20,658.850000,658.852000,1,1
81,661.502000,661.504000,1,1
17,662.152000,662.154000,1,1
81,664.805000,664.807000,1,1
4,665.463000,665.465000,1,1
81,668.116000,668.118000,1,1
1,668.766000,668.768000,1,1
81,671.418000,671.420000,1,1
13,672.069000,672.071000,1,1
81,674.721000,674.723000,1,1
20,675.372000,675.374000,1,1
81,678.024000,678.026000,1,1
12,678.683000,678.685000,1,1
81,681.335000,681.337000,1,1
24,681.994000,681.996000,1,1
81,684.646000,684.648000,1,1
7,685.297000,685.299000,1,1
81,687.949000,687.951000,1,1
27,688.608000,688.610000,1,1
81,691.260000,691.262000,1,1
14,691.911000,691.913000,1,1
81,694.563000,694.565000,1,1
40,695.222000,695.224000,1,1
81,697.874000,697.876000,1,1
9,698.533000,698.535000,1,1
81,701.185000,701.187000,1,1
