run,block,trigger,start_s,end_s,allowed,match
1,1,24,61.349000,61.351000,1,1
1,1,81,64.001000,64.003000,1,1
1,1,6,64.660000,64.662000,1,1
1,1,81,67.312000,67.314000,1,1
1,1,37,67.971000,67.973000,1,1
1,1,81,70.623000,70.625000,1,1
1,1,15,71.290000,71.292000,1,1
1,1,81,73.943000,73.945000,1,1
1,1,102,74.618000,74.620000,1,1
1,1,100,75.619000,75.621000,1,1
1,1,201,76.030000,76.032000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,77.270000,77.272000,1,1
1,1,16,77.921000,77.923000,1,1
1,1,81,80.573000,80.575000,1,1
1,1,39,81.224000,81.226000,1,1
1,1,81,83.876000,83.878000,1,1
1,1,39,84.535000,84.537000,1,1
1,1,81,87.187000,87.189000,1,1
1,1,25,87.838000,87.840000,1,1
1,1,81,90.490000,90.492000,1,1
1,1,27,91.149000,91.151000,1,1
1,1,81,93.801000,93.803000,1,1
1,1,28,94.452000,94.454000,1,1
1,1,81,97.104000,97.106000,1,1
1,1,13,97.754000,97.756000,1,1
1,1,81,100.406000,100.408000,1,1
1,1,35,101.466000,101.468000,1,1
1,1,81,104.118000,104.120000,1,1
1,1,29,104.777000,104.779000,1,1
1,1,81,107.429000,107.431000,1,1
1,1,36,108.088000,108.090000,1,1
1,1,201,109.632000,109.634000,1,0
1,1,81,110.740000,110.742000,1,1
1,1,12,111.958000,111.960000,1,1
1,1,81,114.610000,114.612000,1,1
1,1,21,115.269000,115.271000,1,1
1,1,81,117.921000,117.923000,1,1
1,1,33,118.572000,118.574000,1,1
1,1,81,121.224000,121.226000,1,1
1,1,102,121.874000,121.876000,1,1
1,1,100,122.108000,122.110000,1,1
1,1,201,122.535000,122.537000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,124.527000,124.529000,1,1
1,1,9,125.186000,125.188000,1,1
1,1,81,127.838000,127.840000,1,1
1,1,32,128.488000,128.490000,1,1
1,1,81,131.141000,131.143000,1,1
1,1,14,131.791000,131.793000,1,1
1,1,81,134.443000,134.445000,1,1
1,1,40,135.094000,135.096000,1,1
1,1,81,137.746000,137.748000,1,1
1,1,30,138.405000,138.407000,1,1
1,1,81,141.057000,141.059000,1,1
1,1,8,141.716000,141.718000,1,1
1,1,81,144.368000,144.370000,1,1
1,1,37,145.027000,145.029000,1,1
1,1,81,147.679000,147.681000,1,1
1,1,26,148.330000,148.332000,1,1
1,1,81,150.982000,150.984000,1,1
1,1,1,151.641000,151.643000,1,1
1,1,81,154.293000,154.295000,1,1
1,1,16,154.952000,154.954000,1,1
1,1,81,157.604000,157.606000,1,1
1,1,36,158.255000,158.257000,1,1
1,1,81,160.907000,160.909000,1,1
1,1,19,161.566000,161.568000,1,1
1,1,81,164.218000,164.220000,1,1
1,1,102,164.869000,164.871000,1,1
1,1,100,165.686000,165.688000,1,1
1,1,201,166.096000,166.098000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,167.521000,167.523000,1,1
1,1,102,168.172000,168.174000,1,1
1,1,100,168.522000,168.524000,1,1
1,1,101,NaN,NaN,1,MISSING
1,1,103,170.824000,170.826000,1,1
1,1,25,171.775000,171.777000,1,1
1,1,81,174.427000,174.429000,1,1
1,1,102,175.077000,175.079000,1,1
1,1,100,176.195000,176.197000,1,1
1,1,101,NaN,NaN,1,MISSING
1,1,103,177.730000,177.732000,1,1
1,1,11,178.680000,178.682000,1,1
1,1,81,181.333000,181.335000,1,1
1,1,102,181.983000,181.985000,1,1
1,1,100,182.634000,182.636000,1,1
1,1,201,182.978000,182.980000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,184.635000,184.637000,1,1
1,1,34,185.294000,185.296000,1,1
1,1,81,187.946000,187.948000,1,1
1,1,102,188.605000,188.607000,1,1
1,1,100,189.406000,189.408000,1,1
1,1,201,189.849000,189.851000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,191.258000,191.260000,1,1
1,1,31,191.908000,191.910000,1,1
1,1,81,194.560000,194.562000,1,1
1,1,8,195.219000,195.221000,1,1
1,1,81,197.871000,197.873000,1,1
1,1,22,198.530000,198.532000,1,1
1,1,81,201.183000,201.184000,1,1
1,1,102,201.841000,201.843000,1,1
1,1,100,202.258000,202.260000,1,1
1,1,201,202.585000,202.587000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,204.494000,204.496000,1,1
1,1,17,205.361000,205.363000,1,1
1,1,81,208.013000,208.015000,1,1
1,1,30,208.664000,208.666000,1,1
1,1,81,211.316000,211.318000,1,1
1,1,27,211.967000,211.969000,1,1
1,1,81,214.619000,214.621000,1,1
1,1,13,215.278000,215.280000,1,1
1,1,81,217.930000,217.932000,1,1
1,1,19,218.589000,218.591000,1,1
1,1,81,221.241000,221.243000,1,1
1,1,3,221.900000,221.902000,1,1
1,1,81,224.552000,224.554000,1,1
1,1,3,225.203000,225.205000,1,1
1,1,81,227.855000,227.857000,1,1
1,1,21,228.505000,228.507000,1,1
1,1,81,231.158000,231.160000,1,1
1,1,29,231.808000,231.810000,1,1
1,1,81,234.460000,234.462000,1,1
1,1,2,235.119000,235.121000,1,1
1,1,81,237.771000,237.773000,1,1
1,1,7,238.422000,238.424000,1,1
1,1,81,241.074000,241.076000,1,1
1,1,38,241.733000,241.735000,1,1
1,1,81,244.385000,244.387000,1,1
1,1,4,245.044000,245.046000,1,1
1,1,81,247.696000,247.698000,1,1
1,1,17,248.355000,248.357000,1,1
1,1,81,251.008000,251.010000,1,1
1,1,38,251.666000,251.668000,1,1
1,1,81,254.319000,254.321000,1,1
1,1,22,254.978000,254.980000,1,1
1,1,81,257.630000,257.632000,1,1
1,1,12,258.289000,258.291000,1,1
1,1,81,260.941000,260.943000,1,1
1,1,26,261.591000,261.593000,1,1
1,1,81,264.244000,264.246000,1,1
1,1,6,264.894000,264.896000,1,1
1,1,81,267.546000,267.548000,1,1
1,1,10,268.205000,268.207000,1,1
1,1,81,270.857000,270.859000,1,1
1,1,9,271.508000,271.510000,1,1
1,1,81,274.160000,274.162000,1,1
1,1,23,274.811000,274.813000,1,1
1,1,81,277.463000,277.465000,1,1
1,1,102,278.114000,278.116000,1,1
1,1,100,278.330000,278.332000,1,1
1,1,101,NaN,NaN,1,MISSING
1,1,103,280.766000,280.768000,1,1
1,1,10,281.725000,281.727000,1,1
1,1,81,284.377000,284.379000,1,1
1,1,23,285.036000,285.038000,1,1
1,1,81,287.688000,287.690000,1,1
1,1,11,288.339000,288.341000,1,1
1,1,81,290.991000,290.993000,1,1
1,1,4,291.650000,291.652000,1,1
1,1,81,294.302000,294.304000,1,1
1,1,34,294.953000,294.955000,1,1
1,1,81,297.605000,297.607000,1,1
1,1,2,298.264000,298.266000,1,1
1,1,81,300.916000,300.918000,1,1
1,1,18,301.567000,301.568000,1,1
1,1,81,304.219000,304.221000,1,1
1,1,14,304.869000,304.871000,1,1
1,1,81,307.521000,307.523000,1,1
1,1,24,308.172000,308.174000,1,1
1,1,81,310.824000,310.826000,1,1
1,1,7,311.483000,311.485000,1,1
1,1,81,314.135000,314.137000,1,1
1,1,102,314.786000,314.788000,1,1
1,1,100,315.853000,315.855000,1,1
1,1,201,316.297000,316.299000,1,0
1,1,101,NaN,NaN,1,MISSING
1,1,103,317.438000,317.440000,1,1
1,1,33,318.097000,318.099000,1,1
1,1,81,320.749000,320.751000,1,1
1,1,32,321.408000,321.410000,1,1
1,1,81,324.060000,324.062000,1,1
1,1,18,324.719000,324.721000,1,1
1,1,81,327.371000,327.373000,1,1
1,2,48,387.363000,387.365000,1,1
1,2,81,390.016000,390.018000,1,1
1,2,52,390.666000,390.668000,1,1
1,2,81,393.318000,393.320000,1,1
1,2,102,393.969000,393.971000,1,1
1,2,100,394.202000,394.204000,1,1
1,2,201,394.529000,394.531000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,396.621000,396.623000,1,1
1,2,79,397.272000,397.274000,1,1
1,2,81,399.924000,399.926000,1,1
1,2,51,400.583000,400.585000,1,1
1,2,81,403.235000,403.237000,1,1
1,2,55,403.894000,403.896000,1,1
1,2,81,406.546000,406.548000,1,1
1,2,62,407.197000,407.199000,1,1
1,2,81,409.849000,409.851000,1,1
1,2,69,410.750000,410.752000,1,1
1,2,81,413.402000,413.404000,1,1
1,2,75,414.061000,414.063000,1,1
1,2,81,416.713000,416.715000,1,1
1,2,73,417.363000,417.365000,1,1
1,2,81,420.016000,420.018000,1,1
1,2,50,420.675000,420.677000,1,1
1,2,81,423.327000,423.329000,1,1
1,2,102,423.977000,423.979000,1,1
1,2,100,425.045000,425.047000,1,1
1,2,201,425.638000,425.640000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,426.630000,426.632000,1,1
1,2,102,427.288000,427.290000,1,1
1,2,100,427.505000,427.507000,1,1
1,2,201,427.949000,427.951000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,429.941000,429.943000,1,1
1,2,51,430.591000,430.593000,1,1
1,2,81,433.243000,433.245000,1,1
1,2,53,433.902000,433.904000,1,1
1,2,81,436.554000,436.556000,1,1
1,2,47,437.213000,437.215000,1,1
1,2,81,439.866000,439.868000,1,1
1,2,70,440.524000,440.526000,1,1
1,2,81,443.177000,443.179000,1,1
1,2,42,443.827000,443.829000,1,1
1,2,81,446.479000,446.481000,1,1
1,2,41,447.130000,447.132000,1,1
1,2,81,449.782000,449.784000,1,1
1,2,67,450.433000,450.435000,1,1
1,2,81,453.085000,453.087000,1,1
1,2,80,453.736000,453.738000,1,1
1,2,81,456.388000,456.390000,1,1
1,2,63,457.047000,457.049000,1,1
1,2,81,459.699000,459.701000,1,1
1,2,53,460.358000,460.360000,1,1
1,2,81,463.010000,463.012000,1,1
1,2,49,463.669000,463.671000,1,1
1,2,81,466.321000,466.323000,1,1
1,2,102,466.972000,466.974000,1,1
1,2,100,467.622000,467.624000,1,1
1,2,101,NaN,NaN,1,MISSING
1,2,103,469.624000,469.626000,1,1
1,2,64,470.583000,470.585000,1,1
1,2,81,473.235000,473.237000,1,1
1,2,43,473.886000,473.888000,1,1
1,2,81,476.538000,476.540000,1,1
1,2,78,477.197000,477.199000,1,1
1,2,81,479.849000,479.851000,1,1
1,2,71,480.508000,480.510000,1,1
1,2,81,483.160000,483.162000,1,1
1,2,102,483.811000,483.813000,1,1
1,2,100,484.161000,484.163000,1,1
1,2,201,484.487000,484.489000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,486.463000,486.465000,1,1
1,2,49,487.113000,487.115000,1,1
1,2,81,489.766000,489.768000,1,1
1,2,59,490.416000,490.418000,1,1
1,2,81,493.068000,493.070000,1,1
1,2,63,493.727000,493.729000,1,1
1,2,81,496.380000,496.382000,1,1
1,2,65,497.038000,497.040000,1,1
1,2,81,499.691000,499.693000,1,1
1,2,79,500.350000,500.352000,1,1
1,2,81,503.002000,503.004000,1,1
1,2,67,503.652000,503.654000,1,1
1,2,81,506.305000,506.307000,1,1
1,2,54,506.955000,506.957000,1,1
1,2,81,509.607000,509.609000,1,1
1,2,64,510.258000,510.260000,1,1
1,2,81,512.910000,512.912000,1,1
1,2,102,513.561000,513.563000,1,1
1,2,100,514.561000,514.563000,1,1
1,2,101,NaN,NaN,1,MISSING
1,2,103,516.213000,516.215000,1,1
1,2,102,517.172000,517.174000,1,1
1,2,100,517.973000,517.975000,1,1
1,2,201,518.533000,518.535000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,519.824000,519.826000,1,1
1,2,74,520.483000,520.485000,1,1
1,2,81,523.135000,523.137000,1,1
1,2,42,523.786000,523.788000,1,1
1,2,81,526.438000,526.440000,1,1
1,2,59,527.089000,527.091000,1,1
1,2,81,529.741000,529.743000,1,1
1,2,77,530.391000,530.393000,1,1
1,2,81,533.044000,533.046000,1,1
1,2,73,533.694000,533.696000,1,1
1,2,81,536.346000,536.348000,1,1
1,2,102,537.005000,537.007000,1,1
1,2,100,537.422000,537.424000,1,1
1,2,201,537.949000,537.951000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,539.657000,539.659000,1,1
1,2,76,540.308000,540.310000,1,1
1,2,81,542.960000,542.962000,1,1
1,2,66,543.611000,543.613000,1,1
1,2,81,546.263000,546.265000,1,1
1,2,72,546.922000,546.924000,1,1
1,2,81,549.574000,549.576000,1,1
1,2,44,550.225000,550.227000,1,1
1,2,81,552.877000,552.879000,1,1
1,2,61,553.527000,553.529000,1,1
1,2,81,556.180000,556.182000,1,1
1,2,50,556.830000,556.832000,1,1
1,2,81,559.482000,559.484000,1,1
1,2,46,560.141000,560.143000,1,1
1,2,81,562.793000,562.795000,1,1
1,2,70,563.444000,563.446000,1,1
1,2,81,566.096000,566.098000,1,1
1,2,46,566.747000,566.749000,1,1
1,2,81,569.399000,569.401000,1,1
1,2,58,570.058000,570.060000,1,1
1,2,81,572.710000,572.712000,1,1
1,2,57,573.344000,573.346000,1,1
1,2,81,575.996000,575.998000,1,1
1,2,56,576.647000,576.649000,1,1
1,2,81,579.299000,579.301000,1,1
1,2,74,579.950000,579.951000,1,1
1,2,81,582.602000,582.604000,1,1
1,2,54,583.261000,583.263000,1,1
1,2,81,585.913000,585.915000,1,1
1,2,77,586.563000,586.565000,1,1
1,2,81,589.216000,589.218000,1,1
1,2,78,589.874000,589.876000,1,1
1,2,81,592.527000,592.529000,1,1
1,2,44,593.177000,593.179000,1,1
1,2,81,595.829000,595.831000,1,1
1,2,47,596.488000,596.490000,1,1
1,2,81,599.141000,599.143000,1,1
1,2,58,599.799000,599.801000,1,1
1,2,81,602.452000,602.454000,1,1
1,2,62,603.111000,603.113000,1,1
1,2,81,605.763000,605.765000,1,1
1,2,65,606.664000,606.666000,1,1
1,2,201,607.357000,607.359000,1,0
1,2,81,609.316000,609.318000,1,1
1,2,57,610.275000,610.277000,1,1
1,2,81,612.927000,612.929000,1,1
1,2,48,613.586000,613.588000,1,1
1,2,81,616.238000,616.240000,1,1
1,2,68,617.081000,617.083000,1,1
1,2,81,619.733000,619.735000,1,1
1,2,72,620.383000,620.385000,1,1
1,2,81,623.036000,623.038000,1,1
1,2,102,623.694000,623.696000,1,1
1,2,100,624.812000,624.814000,1,1
1,2,201,625.455000,625.457000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,626.347000,626.349000,1,1
1,2,56,626.997000,626.999000,1,1
1,2,81,629.649000,629.651000,1,1
1,2,52,630.300000,630.302000,1,1
1,2,81,632.952000,632.954000,1,1
1,2,76,633.611000,633.613000,1,1
1,2,81,636.263000,636.265000,1,1
1,2,61,636.914000,636.916000,1,1
1,2,81,639.566000,639.568000,1,1
1,2,66,640.217000,640.219000,1,1
1,2,81,642.869000,642.871000,1,1
1,2,69,643.528000,643.530000,1,1
1,2,81,646.180000,646.182000,1,1
1,2,43,646.839000,646.841000,1,1
1,2,81,649.491000,649.493000,1,1
1,2,102,650.142000,650.144000,1,1
1,2,100,650.959000,650.961000,1,1
1,2,201,651.352000,651.354000,1,0
1,2,101,NaN,NaN,1,MISSING
1,2,103,652.794000,652.796000,1,1
2,1,3,25.570000,25.572000,1,1
2,1,81,28.223000,28.225000,1,1
2,1,2,28.881000,28.883000,1,1
2,1,150,30.893000,30.895000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,40,33.577000,33.579000,1,1
2,1,81,36.229000,36.231000,1,1
2,1,17,36.896000,36.898000,1,1
2,1,150,38.591000,38.593000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,26,41.283000,41.285000,1,1
2,1,81,43.936000,43.938000,1,1
2,1,31,44.595000,44.597000,1,1
2,1,150,46.206000,46.207000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,35,48.890000,48.892000,1,1
2,1,81,51.542000,51.544000,1,1
2,1,28,52.201000,52.203000,1,1
2,1,81,54.853000,54.855000,1,1
2,1,1,55.512000,55.514000,1,1
2,1,150,55.555000,55.557000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,102,58.239000,58.241000,1,1
2,1,100,58.556000,58.558000,1,1
2,1,201,59.017000,59.019000,1,0
2,1,150,60.185000,60.187000,1,NaN
2,1,101,NaN,NaN,1,MISSING
2,1,103,NaN,NaN,1,MISSING
2,1,21,62.877000,62.878000,1,1
2,1,81,65.529000,65.531000,1,1
2,1,23,66.188000,66.190000,1,1
2,1,150,66.248000,66.250000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,102,68.932000,68.934000,1,1
2,1,100,69.499000,69.501000,1,1
2,1,201,69.942000,69.944000,1,0
2,1,101,NaN,NaN,1,MISSING
2,1,103,71.584000,71.586000,1,1
2,1,18,72.243000,72.245000,1,1
2,1,150,74.855000,74.857000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,22,77.539000,77.541000,1,1
2,1,81,80.191000,80.193000,1,1
2,1,40,80.842000,80.844000,1,1
2,1,81,83.494000,83.496000,1,1
2,1,21,84.144000,84.146000,1,1
2,1,150,86.189000,86.191000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,32,88.873000,88.875000,1,1
2,1,81,91.525000,91.527000,1,1
2,1,12,92.176000,92.178000,1,1
2,1,81,94.828000,94.830000,1,1
2,1,35,95.479000,95.481000,1,1
2,1,81,98.131000,98.133000,1,1
2,1,9,98.790000,98.792000,1,1
2,1,81,101.442000,101.444000,1,1
2,1,102,102.101000,102.103000,1,1
2,1,100,102.768000,102.770000,1,1
2,1,201,103.295000,103.297000,1,0
2,1,101,NaN,NaN,1,MISSING
2,1,103,104.753000,104.755000,1,1
2,1,3,105.412000,105.414000,1,1
2,1,81,108.064000,108.066000,1,1
2,1,19,108.715000,108.717000,1,1
2,1,81,111.367000,111.369000,1,1
2,1,20,112.018000,112.020000,1,1
2,1,81,114.670000,114.672000,1,1
2,1,14,115.320000,115.322000,1,1
2,1,81,117.973000,117.975000,1,1
2,1,15,118.623000,118.625000,1,1
2,1,81,121.275000,121.277000,1,1
2,1,34,121.926000,121.928000,1,1
2,1,81,124.578000,124.580000,1,1
2,1,102,125.237000,125.239000,1,1
2,1,100,125.754000,125.756000,1,1
2,1,201,126.131000,126.133000,1,0
2,1,101,NaN,NaN,1,MISSING
2,1,103,127.889000,127.891000,1,1
2,1,33,128.540000,128.542000,1,1
2,1,150,131.151000,131.153000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,102,133.836000,133.838000,1,1
2,1,100,134.069000,134.071000,1,1
2,1,201,134.564000,134.566000,1,0
2,1,101,NaN,NaN,1,MISSING
2,1,103,136.488000,136.490000,1,1
2,1,29,137.139000,137.141000,1,1
2,1,81,139.791000,139.793000,1,1
2,1,23,140.441000,140.443000,1,1
2,1,81,143.094000,143.096000,1,1
2,1,29,143.744000,143.746000,1,1
2,1,81,146.396000,146.398000,1,1
2,1,32,147.055000,147.057000,1,1
2,1,150,147.098000,147.100000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,17,149.774000,149.776000,1,1
2,1,81,152.426000,152.428000,1,1
2,1,2,153.085000,153.087000,1,1
2,1,81,155.738000,155.740000,1,1
2,1,18,156.388000,156.390000,1,1
2,1,81,159.040000,159.042000,1,1
2,1,102,159.691000,159.693000,1,1
2,1,100,160.492000,160.493000,1,1
2,1,201,160.968000,160.970000,1,0
2,1,101,NaN,NaN,1,MISSING
2,1,103,162.343000,162.345000,1,1
2,1,4,162.994000,162.996000,1,1
2,1,81,165.646000,165.648000,1,1
2,1,27,166.296000,166.298000,1,1
2,1,81,168.949000,168.951000,1,1
2,1,102,169.599000,169.601000,1,1
2,1,100,170.116000,170.118000,1,1
2,1,101,NaN,NaN,1,MISSING
2,1,103,172.251000,172.253000,1,1
2,1,10,173.210000,173.212000,1,1
2,1,81,175.863000,175.865000,1,1
2,1,38,176.522000,176.524000,1,1
2,1,81,179.174000,179.176000,1,1
2,1,12,179.824000,179.826000,1,1
2,1,150,182.252000,182.254000,1,NaN
2,1,81,NaN,NaN,1,MISSING
2,1,8,184.929000,184.931000,1,1
2,1,81,187.581000,187.583000,1,1
2,1,4,188.231000,188.233000,1,1
2,1,81,190.884000,190.886000,1,1
2,1,102,191.534000,191.536000,1,1
2,1,100,192.602000,192.604000,1,1
2,1,101,NaN,NaN,1,MISSING
2,1,103,194.186000,194.188000,1,1
2,1,16,195.146000,195.147000,1,1
2,1,81,197.798000,197.800000,1,1
2,1,102,198.457000,198.459000,1,1
2,1,100,199.207000,199.209000,1,1
2,1,128,199.650000,199.651000,0,NaN
2,1,201,199.651000,199.652000,1,0
2,1,150,200.735000,200.737000,1,NaN
2,1,101,NaN,NaN,1,MISSING
2,1,103,NaN,NaN,1,MISSING
2,1,16,203.419000,203.421000,1,1
2,1,81,206.071000,206.073000,1,1
2,1,6,206.730000,206.732000,1,1
2,1,150,206.806000,206.808000,1,NaN
