trigger,time_s
24,0.537722
81,3.187722
6,3.724842
81,6.374842
37,6.930558
81,9.580558
15,10.100459
81,12.750459
102,13.291419
100,14.291419
101,15.558086
103,15.941419
16,16.473146
81,19.123146
39,19.671888
81,22.321888
39,22.845536
81,25.495536
25,26.047068
81,28.697068
27,29.235492
81,31.885492
28,32.438248
81,35.088248
13,35.624001
81,38.274001
35,38.807887
81,41.457887
29,42.006112
81,44.656112
36,45.212144
81,47.862144
12,48.393600
81,51.043600
21,51.599024
81,54.249024
33,54.802852
81,57.452852
102,57.976626
100,58.209959
101,59.476626
103,60.626626
9,61.167647
81,63.817647
32,64.362508
81,67.012508
14,67.566887
81,70.216887
40,70.760180
81,73.410180
30,73.932182
81,76.582182
8,77.118764
81,79.768764
37,80.305175
81,82.955175
26,83.491851
81,86.141851
1,86.696861
81,89.346861
16,89.877525
81,92.527525
36,93.053143
81,95.703143
19,96.240693
81,98.890693
102,99.433006
100,100.249673
101,101.516340
103,102.083006
102,102.637237
100,102.987237
101,104.253904
103,105.287237
25,105.827184
81,108.477184
102,109.004564
100,110.121231
101,111.387898
103,111.654564
11,112.208422
81,114.858422
102,115.394758
100,116.044758
101,117.311424
103,118.044758
34,118.588457
81,121.238457
102,121.774165
100,122.574165
101,123.840831
103,124.424165
31,124.949511
81,127.599511
8,128.143879
81,130.793879
22,131.341371
81,133.991371
102,134.515669
100,134.932336
101,136.199003
103,137.165669
17,137.700733
81,140.350733
30,140.881872
81,143.531872
27,144.055368
81,146.705368
13,147.230889
81,149.880889
19,150.436056
81,153.086056
3,153.638091
81,156.288091
3,156.820050
81,159.470050
21,160.016295
81,162.666295
29,163.184641
81,165.834641
2,166.387909
81,169.037909
7,169.576063
81,172.226063
38,172.775540
81,175.425540
4,175.953245
81,178.603245
17,179.134956
81,181.784956
38,182.315545
81,184.965545
22,185.521109
81,188.171109
12,188.704954
81,191.354954
26,191.891608
81,194.541608
6,195.096514
81,197.746514
10,198.299309
81,200.949309
9,201.481776
81,204.131776
23,204.660737
81,207.310737
102,207.859685
100,208.076352
101,209.343019
103,210.509685
10,211.030651
81,213.680651
23,214.213005
81,216.863005
11,217.414729
81,220.064729
4,220.618101
81,223.268101
34,223.794107
81,226.444107
2,226.963923
81,229.613923
18,230.162098
81,232.812098
14,233.353636
81,236.003636
24,236.529803
81,239.179803
7,239.716705
81,242.366705
102,242.886229
100,243.952895
101,245.219562
103,245.536229
33,246.080899
81,248.730899
32,249.268635
81,251.918635
18,252.463487
81,255.113487
