trigger,time_s
11,0.537722
81,3.187722
33,3.724842
81,6.374842
20,6.930558
81,9.580558
102,10.100459
100,10.583792
101,11.850459
103,12.750459
19,13.291419
81,15.941419
21,16.473146
81,19.123146
37,19.671888
81,22.321888
26,22.845536
81,25.495536
34,26.047068
81,28.697068
40,29.235492
81,31.885492
23,32.438248
81,35.088248
18,35.624001
81,38.274001
6,38.807887
81,41.457887
12,42.006112
81,44.656112
102,45.212144
100,45.562144
101,46.828811
103,47.862144
13,48.393600
81,51.043600
5,51.599024
81,54.249024
31,54.802852
81,57.452852
2,57.976626
81,60.626626
23,61.167647
81,63.817647
16,64.362508
81,67.012508
39,67.566887
81,70.216887
17,70.760180
81,73.410180
13,73.932182
81,76.582182
4,77.118764
81,79.768764
1,80.305175
81,82.955175
36,83.491851
81,86.141851
10,86.696861
81,89.346861
15,89.877525
81,92.527525
22,93.053143
81,95.703143
39,96.240693
81,98.890693
21,99.433006
81,102.083006
3,102.637237
81,105.287237
19,105.827184
81,108.477184
29,109.004564
81,111.654564
102,112.208422
100,112.958422
101,114.225089
103,114.858422
36,115.394758
81,118.044758
32,118.588457
81,121.238457
4,121.774165
81,124.424165
34,124.949511
81,127.599511
12,128.143879
81,130.793879
29,131.341371
81,133.991371
20,134.515669
81,137.165669
31,137.700733
81,140.350733
9,140.881872
81,143.531872
10,144.055368
81,146.705368
27,147.230889
81,149.880889
102,150.436056
100,150.886056
101,152.152722
103,153.086056
7,153.638091
81,156.288091
27,156.820050
81,159.470050
35,160.016295
81,162.666295
16,163.184641
81,165.834641
5,166.387909
81,169.037909
2,169.576063
81,172.226063
3,172.775540
81,175.425540
14,175.953245
81,178.603245
28,179.134956
81,181.784956
6,182.315545
81,184.965545
17,185.521109
81,188.171109
26,188.704954
81,191.354954
25,191.891608
81,194.541608
102,195.096514
100,195.596514
101,196.863181
103,197.746514
32,198.299309
81,200.949309
15,201.481776
81,204.131776
11,204.660737
81,207.310737
28,207.859685
81,210.509685
9,211.030651
81,213.680651
102,214.213005
100,214.913005
101,216.179672
103,216.863005
102,217.414729
100,217.931396
101,219.198062
103,220.064729
30,220.618101
81,223.268101
102,223.794107
100,224.410774
101,225.677440
103,226.444107
24,226.963923
81,229.613923
30,230.162098
81,232.812098
102,233.353636
100,234.020303
101,235.286969
103,236.003636
18,236.529803
81,239.179803
25,239.716705
81,242.366705
1,242.886229
81,245.536229
40,246.080899
81,248.730899
102,249.268635
100,249.951968
101,251.218635
103,251.918635
35,252.463487
81,255.113487
