trigger,time_s
57,0.537722
81,3.187722
58,3.724842
81,6.374842
102,6.930558
100,7.797225
101,9.063892
103,9.580558
70,10.100459
81,12.750459
60,13.291419
81,15.941419
68,16.473146
81,19.123146
56,19.671888
81,22.321888
44,22.845536
81,25.495536
67,26.047068
81,28.697068
41,29.235492
81,31.885492
63,32.438248
81,35.088248
77,35.624001
81,38.274001
79,38.807887
81,41.457887
63,42.006112
81,44.656112
41,45.212144
81,47.862144
47,48.393600
81,51.043600
77,51.599024
81,54.249024
68,54.802852
81,57.452852
49,57.976626
81,60.626626
66,61.167647
81,63.817647
102,64.362508
100,64.845841
101,66.112508
103,67.012508
50,67.566887
81,70.216887
50,70.760180
81,73.410180
80,73.932182
81,76.582182
72,77.118764
81,79.768764
75,80.305175
81,82.955175
61,83.491851
81,86.141851
102,86.696861
100,87.163528
101,88.430194
103,89.346861
55,89.877525
81,92.527525
45,93.053143
81,95.703143
74,96.240693
81,98.890693
48,99.433006
81,102.083006
42,102.637237
81,105.287237
71,105.827184
81,108.477184
71,109.004564
81,111.654564
102,112.208422
100,112.425089
101,113.691755
103,114.858422
73,115.394758
81,118.044758
64,118.588457
81,121.238457
72,121.774165
81,124.424165
62,124.949511
81,127.599511
59,128.143879
81,130.793879
43,131.341371
81,133.991371
67,134.515669
81,137.165669
46,137.700733
81,140.350733
52,140.881872
81,143.531872
102,144.055368
100,144.938701
101,146.205368
103,146.705368
79,147.230889
81,149.880889
65,150.436056
81,153.086056
78,153.638091
81,156.288091
43,156.820050
81,159.470050
44,160.016295
81,162.666295
102,163.184641
100,164.351307
101,165.617974
103,165.834641
102,166.387909
100,166.621243
101,167.887909
103,169.037909
52,169.576063
81,172.226063
69,172.775540
81,175.425540
45,175.953245
81,178.603245
48,179.134956
81,181.784956
102,182.315545
100,183.648878
101,184.915545
103,184.965545
62,185.521109
81,188.171109
75,188.704954
81,191.354954
42,191.891608
81,194.541608
53,195.096514
81,197.746514
47,198.299309
81,200.949309
76,201.481776
81,204.131776
78,204.660737
81,207.310737
57,207.859685
81,210.509685
61,211.030651
81,213.680651
66,214.213005
81,216.863005
53,217.414729
81,220.064729
54,220.618101
81,223.268101
76,223.794107
81,226.444107
60,226.963923
81,229.613923
46,230.162098
81,232.812098
102,233.353636
100,233.703636
101,234.970303
103,236.003636
74,236.529803
81,239.179803
70,239.716705
81,242.366705
80,242.886229
81,245.536229
102,246.080899
100,246.314232
101,247.580899
103,248.730899
64,249.268635
81,251.918635
54,252.463487
81,255.113487
