trigger,start_s,end_s,allowed,match
76,305.293000,305.295000,1,1
81,307.945000,307.947000,1,1
60,308.604000,308.606000,1,1
81,311.256000,311.258000,1,1
47,311.907000,311.909000,1,1
81,314.559000,314.561000,1,1
67,315.218000,315.220000,1,1
81,317.870000,317.872000,1,1
57,318.529000,318.531000,1,1
81,321.181000,321.183000,1,1
70,321.832000,321.834000,1,1
81,324.484000,324.486000,1,1
57,325.143000,325.145000,1,1
81,327.795000,327.797000,1,1
42,328.446000,328.448000,1,1
81,331.098000,331.100000,1,1
70,331.757000,331.759000,1,1
81,334.409000,334.411000,1,1
53,335.060000,335.061000,1,1
81,337.712000,337.714000,1,1
56,338.362000,338.364000,1,1
81,341.014000,341.016000,1,1
80,341.665000,341.667000,1,1
81,344.317000,344.319000,1,1
69,344.968000,344.970000,1,1
81,347.620000,347.622000,1,1
77,348.271000,348.273000,1,1
81,350.923000,350.925000,1,1
45,351.573000,351.575000,1,1
81,354.226000,354.228000,1,1
102,354.876000,354.878000,1,1
100,355.326000,355.328000,1,1
201,355.786000,355.788000,1,0
101,NaN,NaN,1,MISSING
103,357.528000,357.530000,1,1
67,358.179000,358.181000,1,1
81,360.831000,360.833000,1,1
79,361.490000,361.492000,1,1
81,364.142000,364.144000,1,1
43,364.793000,364.795000,1,1
81,367.445000,367.447000,1,1
102,368.095000,368.097000,1,1
100,368.796000,368.798000,1,1
150,369.257000,369.258000,1,NaN
101,NaN,NaN,1,MISSING
103,NaN,NaN,1,MISSING
58,371.949000,371.951000,1,1
81,374.601000,374.603000,1,1
63,375.268000,375.270000,1,1
81,377.920000,377.922000,1,1
102,378.571000,378.573000,1,1
100,378.921000,378.923000,1,1
201,379.299000,379.301000,1,0
101,NaN,NaN,1,MISSING
103,381.223000,381.225000,1,1
75,381.890000,381.892000,1,1
81,384.543000,384.545000,1,1
55,385.201000,385.203000,1,1
81,387.854000,387.856000,1,1
72,388.513000,388.515000,1,1
81,391.165000,391.167000,1,1
43,391.815000,391.817000,1,1
81,394.468000,394.470000,1,1
59,395.118000,395.120000,1,1
81,397.770000,397.772000,1,1
65,398.429000,398.431000,1,1
81,401.081000,401.083000,1,1
102,401.732000,401.734000,1,1
