trigger,time_s
76,0.503527
81,3.153527
60,3.695986
81,6.345986
47,6.877466
81,9.527466
67,10.064105
81,12.714105
57,13.244191
81,15.894191
70,16.436221
81,19.086221
57,19.625618
81,22.275618
42,22.816970
81,25.466970
70,25.986171
81,28.636171
53,29.161844
81,31.811844
56,32.331387
81,34.981387
80,35.513385
81,38.163385
69,38.699292
81,41.349292
77,41.870453
81,44.520453
45,45.063823
81,47.713823
102,48.249984
100,48.699984
101,49.966650
103,50.899984
67,51.436664
81,54.086664
79,54.627229
81,57.277229
43,57.831291
81,60.481291
102,61.021512
100,61.721512
101,62.988179
103,63.671512
58,64.191918
81,66.841918
63,67.364443
81,70.014443
102,70.558866
100,70.908866
101,72.175532
103,73.208866
75,73.738437
81,76.388437
55,76.935315
81,79.585315
72,80.122407
81,82.772407
43,83.304262
81,85.954262
59,86.500506
81,89.150506
65,89.674492
81,92.324492
102,92.852551
100,93.519218
101,94.785885
103,95.502551
44,96.030896
81,98.680896
65,99.214175
81,101.864175
52,102.417126
81,105.067126
72,105.616295
81,108.266295
102,108.815825
100,109.565825
101,110.832492
103,111.465825
76,112.007738
81,114.657738
41,115.174733
81,117.824733
59,118.352845
81,121.002845
50,121.539584
81,124.189584
54,124.742189
81,127.392189
52,127.923407
81,130.573407
56,131.112096
81,133.762096
102,134.312704
100,134.929371
101,136.196037
103,136.962704
53,137.493027
81,140.143027
80,140.689617
81,143.339617
61,143.880084
81,146.530084
102,147.067764
100,147.751098
101,149.017764
103,149.717764
50,150.259623
81,152.909623
73,153.445683
81,156.095683
68,156.616869
81,159.266869
41,159.819412
81,162.469412
51,163.024868
81,165.674868
45,166.224861
81,168.874861
42,169.405679
81,172.055679
51,172.597703
81,175.247703
49,175.795200
81,178.445200
69,178.964356
81,181.614356
79,182.162601
81,184.812601
46,185.332663
81,187.982663
44,188.536923
81,191.186923
102,191.713248
100,192.229915
101,193.496581
103,194.363248
71,194.918441
81,197.568441
102,198.094390
100,198.594390
101,199.861057
103,200.744390
46,201.282472
81,203.932472
74,204.482398
81,207.132398
66,207.688566
81,210.338566
61,210.883461
81,213.533461
75,214.083516
81,216.733516
60,217.265855
81,219.915855
63,220.462550
81,223.112550
68,223.644602
81,226.294602
71,226.848463
81,229.498463
49,230.046070
81,232.696070
62,233.227913
81,235.877913
74,236.425948
81,239.075948
64,239.595275
81,242.245275
55,242.798945
81,245.448945
66,245.993337
81,248.643337
58,249.173091
81,251.823091
102,252.365636
100,252.848969
101,254.115636
103,255.015636
