trigger,time_s
40,0.537746
81,3.196080
18,3.738466
81,6.396799
14,6.908021
81,9.566354
26,10.086333
81,12.744666
20,13.256469
81,15.914803
102,16.437132
100,17.712132
101,18.978799
103,19.095466
29,19.614986
81,22.273319
102,22.783485
100,23.300152
101,24.566819
103,25.441819
4,25.961770
81,28.620104
36,29.144203
81,31.802537
2,32.317066
81,34.975399
11,35.484672
81,38.143006
31,38.661175
81,41.319509
1,41.843732
81,44.502065
36,45.027302
81,47.685635
28,48.231209
81,50.889542
19,51.424533
81,54.082866
37,54.613859
81,57.272192
10,57.791587
81,60.449920
102,60.959314
100,61.684314
101,62.950980
103,63.617647
26,64.137077
81,66.795410
31,67.314912
81,69.973245
24,70.497721
81,73.156054
9,73.702589
81,76.360922
6,76.904173
81,79.562507
102,80.087731
100,80.871065
101,82.137731
103,82.746065
38,83.265788
81,85.924122
21,86.467945
81,89.126278
102,89.647865
100,90.681198
101,91.947865
103,92.306198
25,92.850352
81,95.508686
39,96.018383
81,98.676716
12,99.206570
81,101.864904
23,102.392834
81,105.051167
22,105.565321
81,108.223654
35,108.733688
81,111.392021
19,111.913498
81,114.571831
2,115.083546
81,117.741880
39,118.255284
81,120.913618
27,121.460100
81,124.118433
11,124.650164
81,127.308497
17,127.839803
81,130.498137
28,131.022825
81,133.681158
30,134.226015
81,136.884348
1,137.403203
81,140.061537
40,140.592464
81,143.250798
102,143.762037
100,144.887037
101,146.153704
103,146.420371
16,146.950354
81,149.608687
24,150.145257
81,152.803590
33,153.314334
81,155.972668
102,156.490942
100,157.082609
101,158.349276
103,159.149276
29,159.694925
81,162.353259
15,162.894786
81,165.553119
102,166.084848
100,166.826514
101,168.093181
103,168.743181
13,169.269607
81,171.927940
20,172.438668
81,175.097001
34,175.611041
81,178.269374
14,178.817263
81,181.475597
5,182.004042
81,184.662376
13,185.171477
81,187.829811
9,188.377421
81,191.035755
7,191.574780
81,194.233113
22,194.754236
81,197.412569
102,197.921426
100,198.204759
101,199.471426
103,200.579759
12,201.092184
81,203.750518
38,204.284587
81,206.942920
25,207.466614
81,210.124947
5,210.648736
81,213.307069
18,213.828470
81,216.486803
8,217.009305
81,219.667638
21,220.189208
81,222.847542
35,223.395152
81,226.053485
23,226.594596
81,229.252929
32,229.786641
81,232.444974
15,232.976636
81,235.634969
27,236.175160
81,238.833493
4,239.354009
81,242.012342
32,242.544123
81,245.202456
102,245.724011
100,246.274011
101,247.540678
103,248.382345
6,248.919498
81,251.577831
16,252.112297
81,254.770630
