trigger,time_s
11,0.537746
81,3.196080
40,3.738466
81,6.396799
31,6.908021
81,9.566354
102,10.086333
100,10.369666
101,11.636333
103,12.744666
19,13.256469
81,15.914803
35,16.437132
81,19.095466
102,19.614986
100,20.106653
101,21.373319
103,22.273319
30,22.783485
81,25.441819
13,25.961770
81,28.620104
40,29.144203
81,31.802537
5,32.317066
81,34.975399
8,35.484672
81,38.143006
18,38.661175
81,41.319509
34,41.843732
81,44.502065
13,45.027302
81,47.685635
36,48.231209
81,50.889542
39,51.424533
81,54.082866
10,54.613859
81,57.272192
37,57.791587
81,60.449920
18,60.959314
81,63.617647
102,64.137077
100,65.103743
101,66.370410
103,66.795410
3,67.314912
81,69.973245
16,70.497721
81,73.156054
25,73.702589
81,76.360922
15,76.904173
81,79.562507
10,80.087731
81,82.746065
34,83.265788
81,85.924122
5,86.467945
81,89.126278
23,89.647865
81,92.306198
12,92.850352
81,95.508686
28,96.018383
81,98.676716
8,99.206570
81,101.864904
6,102.392834
81,105.051167
14,105.565321
81,108.223654
33,108.733688
81,111.392021
35,111.913498
81,114.571831
19,115.083546
81,117.741880
26,118.255284
81,120.913618
14,121.460100
81,124.118433
102,124.650164
100,125.633497
101,126.900164
103,127.308497
37,127.839803
81,130.498137
36,131.022825
81,133.681158
32,134.226015
81,136.884348
102,137.403203
100,138.419870
101,139.686537
103,140.061537
9,140.592464
81,143.250798
26,143.762037
81,146.420371
16,146.950354
81,149.608687
12,150.145257
81,152.803590
7,153.314334
81,155.972668
24,156.490942
81,159.149276
102,159.694925
100,160.386592
101,161.653259
103,162.353259
7,162.894786
81,165.553119
6,166.084848
81,168.743181
102,169.269607
100,169.952940
101,171.219607
103,171.927940
39,172.438668
81,175.097001
21,175.611041
81,178.269374
1,178.817263
81,181.475597
28,182.004042
81,184.662376
17,185.171477
81,187.829811
27,188.377421
81,191.035755
22,191.574780
81,194.233113
15,194.754236
81,197.412569
27,197.921426
81,200.579759
102,201.092184
100,202.217184
101,203.483851
103,203.750518
20,204.284587
81,206.942920
30,207.466614
81,210.124947
2,210.648736
81,213.307069
17,213.828470
81,216.486803
33,217.009305
81,219.667638
20,220.189208
81,222.847542
29,223.395152
81,226.053485
102,226.594596
100,227.302929
101,228.569596
103,229.252929
3,229.786641
81,232.444974
102,232.976636
100,233.184969
101,234.451636
103,235.634969
31,236.175160
81,238.833493
2,239.354009
81,242.012342
38,242.544123
81,245.202456
38,245.724011
81,248.382345
24,248.919498
81,251.577831
1,252.112297
81,254.770630
