trigger,time_s
53,0.514136
81,3.172469
56,3.696127
81,6.354461
73,6.898108
81,9.556442
102,10.064807
100,10.956474
101,12.223141
103,12.723141
52,13.232704
81,15.891038
76,16.431093
81,19.089426
54,19.617612
81,22.275945
61,22.784570
81,25.442903
102,25.981611
100,26.948278
101,28.214944
103,28.639944
55,29.156144
81,31.814477
63,32.356304
81,35.014638
57,35.531697
81,38.190030
67,38.728135
81,41.386469
62,41.899397
81,44.557730
71,45.076754
81,47.735088
43,48.258124
81,50.916458
102,51.460128
100,52.251795
101,53.518462
103,54.118462
65,54.650145
81,57.308479
79,57.836551
81,60.494884
56,61.027814
81,63.686148
47,64.211210
81,66.869544
102,67.382165
100,68.623832
101,69.890498
103,70.040498
102,70.582794
100,71.566128
101,72.832794
103,73.241128
46,73.767242
81,76.425575
69,76.973395
81,79.631729
68,80.144515
81,82.802848
102,83.311666
100,84.078333
101,85.344999
103,85.969999
62,86.516950
81,89.175283
78,89.719035
81,92.377368
75,92.890807
81,95.549141
72,96.089254
81,98.747587
75,99.285709
81,101.944042
58,102.462589
81,105.120923
48,105.651248
81,108.309581
44,108.820011
81,111.478344
67,112.013735
81,114.672068
80,115.181692
81,117.840026
66,118.364392
81,121.022726
52,121.559070
81,124.217403
45,124.752554
81,127.410888
78,127.939486
81,130.597820
68,131.121941
81,133.780275
102,134.292810
100,134.867810
101,136.134477
103,136.951144
72,137.479162
81,140.137495
48,140.672181
81,143.330514
42,143.855111
81,146.513444
49,147.049293
81,149.707626
54,150.225536
81,152.883869
55,153.407506
81,156.065840
51,156.605283
81,159.263616
60,159.783521
81,162.441855
58,162.969120
81,165.627453
102,166.148941
100,166.648941
101,167.915608
103,168.807275
102,169.350936
100,169.675936
101,170.942603
103,172.009269
44,172.543649
81,175.201982
59,175.711804
81,178.370138
64,178.879136
81,181.537470
70,182.057207
81,184.715541
46,185.245892
81,187.904225
41,188.440005
81,191.098338
73,191.617321
81,194.275654
102,194.791158
100,195.816158
101,197.082824
103,197.449491
53,197.961773
81,200.620107
59,201.161070
81,203.819403
64,204.338745
81,206.997079
42,207.523421
81,210.181754
47,210.706610
81,213.364944
60,213.875332
81,216.533665
74,217.063901
81,219.722234
61,220.234248
81,222.892582
77,223.407898
81,226.066232
45,226.603243
81,229.261576
43,229.789766
81,232.448099
65,232.995513
81,235.653846
66,236.171488
81,238.829821
74,239.339093
81,241.997426
51,242.532102
81,245.190436
63,245.716348
81,248.374681
57,248.923003
81,251.581337
70,252.104637
81,254.762970
