trigger,time_s
66,0.537746
81,3.196080
58,3.738466
81,6.396799
52,6.908021
81,9.566354
69,10.086333
81,12.744666
74,13.256469
81,15.914803
49,16.437132
81,19.095466
57,19.614986
81,22.273319
50,22.783485
81,25.441819
63,25.961770
81,28.620104
41,29.144203
81,31.802537
73,32.317066
81,34.975399
102,35.484672
100,35.768006
101,37.034672
103,38.143006
54,38.661175
81,41.319509
59,41.843732
81,44.502065
102,45.027302
100,45.260635
101,46.527302
103,47.685635
58,48.231209
81,50.889542
102,51.424533
100,51.899533
101,53.166199
103,54.082866
68,54.613859
81,57.272192
51,57.791587
81,60.449920
102,60.959314
100,61.284314
101,62.550980
103,63.617647
53,64.137077
81,66.795410
102,67.314912
100,67.964912
101,69.231578
103,69.973245
71,70.497721
81,73.156054
102,73.702589
100,74.502589
101,75.769255
103,76.360922
72,76.904173
81,79.562507
68,80.087731
81,82.746065
76,83.265788
81,85.924122
42,86.467945
81,89.126278
65,89.647865
81,92.306198
43,92.850352
81,95.508686
64,96.018383
81,98.676716
55,99.206570
81,101.864904
47,102.392834
81,105.051167
80,105.565321
81,108.223654
44,108.733688
81,111.392021
42,111.913498
81,114.571831
56,115.083546
81,117.741880
52,118.255284
81,120.913618
79,121.460100
81,124.118433
79,124.650164
81,127.308497
67,127.839803
81,130.498137
59,131.022825
81,133.681158
65,134.226015
81,136.884348
45,137.403203
81,140.061537
70,140.592464
81,143.250798
57,143.762037
81,146.420371
73,146.950354
81,149.608687
48,150.145257
81,152.803590
62,153.314334
81,155.972668
74,156.490942
81,159.149276
102,159.694925
100,160.569925
101,161.836592
103,162.353259
64,162.894786
81,165.553119
77,166.084848
81,168.743181
61,169.269607
81,171.927940
54,172.438668
81,175.097001
102,175.611041
100,176.611041
101,177.877708
103,178.269374
80,178.817263
81,181.475597
69,182.004042
81,184.662376
46,185.171477
81,187.829811
41,188.377421
81,191.035755
76,191.574780
81,194.233113
102,194.754236
100,195.145903
101,196.412569
103,197.412569
77,197.921426
81,200.579759
43,201.092184
81,203.750518
78,204.284587
81,206.942920
75,207.466614
81,210.124947
51,210.648736
81,213.307069
47,213.828470
81,216.486803
48,217.009305
81,219.667638
62,220.189208
81,222.847542
63,223.395152
81,226.053485
45,226.594596
81,229.252929
66,229.786641
81,232.444974
56,232.976636
81,235.634969
55,236.175160
81,238.833493
102,239.354009
100,240.195676
101,241.462342
103,242.012342
60,242.544123
81,245.202456
70,245.724011
81,248.382345
60,248.919498
81,251.577831
44,252.112297
81,254.770630
