trigger,time_s
5,0.514136
81,3.172469
28,3.696127
81,6.354461
17,6.898108
81,9.556442
17,10.064807
81,12.723141
22,13.232704
81,15.891038
40,16.431093
81,19.089426
7,19.617612
81,22.275945
3,22.784570
81,25.442903
26,25.981611
81,28.639944
39,29.156144
81,31.814477
16,32.356304
81,35.014638
13,35.531697
81,38.190030
12,38.728135
81,41.386469
19,41.899397
81,44.557730
102,45.076754
100,45.360088
101,46.626754
103,47.735088
102,48.258124
100,48.733124
101,49.999791
103,50.916458
12,51.460128
81,54.118462
24,54.650145
81,57.308479
15,57.836551
81,60.494884
4,61.027814
81,63.686148
10,64.211210
81,66.869544
18,67.382165
81,70.040498
34,70.582794
81,73.241128
102,73.767242
100,74.767242
101,76.033908
103,76.425575
102,76.973395
100,77.298395
101,78.565062
103,79.631729
35,80.144515
81,82.802848
1,83.311666
81,85.969999
31,86.516950
81,89.175283
24,89.719035
81,92.377368
23,92.890807
81,95.549141
27,96.089254
81,98.747587
3,99.285709
81,101.944042
9,102.462589
81,105.120923
11,105.651248
81,108.309581
36,108.820011
81,111.478344
33,112.013735
81,114.672068
30,115.181692
81,117.840026
15,118.364392
81,121.022726
102,121.559070
100,121.792403
101,123.059070
103,124.217403
7,124.752554
81,127.410888
23,127.939486
81,130.597820
2,131.121941
81,133.780275
26,134.292810
81,136.951144
102,137.479162
100,138.279162
101,139.545829
103,140.137495
11,140.672181
81,143.330514
20,143.855111
81,146.513444
2,147.049293
81,149.707626
40,150.225536
81,152.883869
37,153.407506
81,156.065840
39,156.605283
81,159.263616
21,159.783521
81,162.441855
37,162.969120
81,165.627453
102,166.148941
100,167.023941
101,168.290608
103,168.807275
18,169.350936
81,172.009269
32,172.543649
81,175.201982
29,175.711804
81,178.370138
8,178.879136
81,181.537470
8,182.057207
81,184.715541
6,185.245892
81,187.904225
5,188.440005
81,191.098338
4,191.617321
81,194.275654
28,194.791158
81,197.449491
33,197.961773
81,200.620107
22,201.161070
81,203.819403
38,204.338745
81,206.997079
30,207.523421
81,210.181754
19,210.706610
81,213.364944
102,213.875332
100,214.266999
101,215.533665
103,216.533665
34,217.063901
81,219.722234
102,220.234248
100,220.884248
101,222.150915
103,222.892582
1,223.407898
81,226.066232
25,226.603243
81,229.261576
25,229.789766
81,232.448099
14,232.995513
81,235.653846
14,236.171488
81,238.829821
20,239.339093
81,241.997426
16,242.532102
81,245.190436
102,245.716348
100,246.558015
101,247.824681
103,248.374681
29,248.923003
81,251.581337
36,252.104637
81,254.762970
