trigger,time_s
8,0.537746
81,3.196080
102,3.738466
100,4.246799
101,5.513466
103,6.396799
4,6.908021
81,9.566354
30,10.086333
81,12.744666
24,13.256469
81,15.914803
33,16.437132
81,19.095466
21,19.614986
81,22.273319
12,22.783485
81,25.441819
39,25.961770
81,28.620104
102,29.144203
100,29.552537
101,30.819203
103,31.802537
102,32.317066
100,33.325399
101,34.592066
103,34.975399
102,35.484672
100,35.701339
101,36.968006
103,38.143006
35,38.661175
81,41.319509
17,41.843732
81,44.502065
30,45.027302
81,47.685635
32,48.231209
81,50.889542
25,51.424533
81,54.082866
34,54.613859
81,57.272192
12,57.791587
81,60.449920
20,60.959314
81,63.617647
18,64.137077
81,66.795410
40,67.314912
81,69.973245
18,70.497721
81,73.156054
102,73.702589
100,73.994255
101,75.260922
103,76.360922
29,76.904173
81,79.562507
1,80.087731
81,82.746065
28,83.265788
81,85.924122
28,86.467945
81,89.126278
35,89.647865
81,92.306198
2,92.850352
81,95.508686
23,96.018383
81,98.676716
17,99.206570
81,101.864904
11,102.392834
81,105.051167
27,105.565321
81,108.223654
25,108.733688
81,111.392021
34,111.913498
81,114.571831
29,115.083546
81,117.741880
9,118.255284
81,120.913618
102,121.460100
100,122.801767
101,124.068433
103,124.118433
37,124.650164
81,127.308497
23,127.839803
81,130.498137
36,131.022825
81,133.681158
14,134.226015
81,136.884348
15,137.403203
81,140.061537
3,140.592464
81,143.250798
16,143.762037
81,146.420371
19,146.950354
81,149.608687
10,150.145257
81,152.803590
7,153.314334
81,155.972668
5,156.490942
81,159.149276
37,159.694925
81,162.353259
31,162.894786
81,165.553119
38,166.084848
81,168.743181
21,169.269607
81,171.927940
6,172.438668
81,175.097001
7,175.611041
81,178.269374
24,178.817263
81,181.475597
36,182.004042
81,184.662376
1,185.171477
81,187.829811
11,188.377421
81,191.035755
22,191.574780
81,194.233113
3,194.754236
81,197.412569
27,197.921426
81,200.579759
13,201.092184
81,203.750518
102,204.284587
100,205.451254
101,206.717920
103,206.942920
16,207.466614
81,210.124947
20,210.648736
81,213.307069
32,213.828470
81,216.486803
26,217.009305
81,219.667638
8,220.189208
81,222.847542
14,223.395152
81,226.053485
102,226.594596
100,226.969596
101,228.236262
103,229.252929
40,229.786641
81,232.444974
102,232.976636
100,233.251636
101,234.518303
103,235.634969
102,236.175160
100,236.616826
101,237.883493
103,238.833493
15,239.354009
81,242.012342
31,242.544123
81,245.202456
10,245.724011
81,248.382345
2,248.919498
81,251.577831
4,252.112297
81,254.770630
