trigger,time_s
14,0.514136
81,3.172469
5,3.696127
81,6.354461
4,6.898108
81,9.556442
36,10.064807
81,12.723141
11,13.232704
81,15.891038
102,16.431093
100,16.747759
101,18.014426
103,19.089426
102,19.617612
100,20.525945
101,21.792612
103,22.275945
21,22.784570
81,25.442903
32,25.981611
81,28.639944
26,29.156144
81,31.814477
102,32.356304
100,33.056304
101,34.322971
103,35.014638
34,35.531697
81,38.190030
1,38.728135
81,41.386469
12,41.899397
81,44.557730
15,45.076754
81,47.735088
37,48.258124
81,50.916458
20,51.460128
81,54.118462
30,54.650145
81,57.308479
2,57.836551
81,60.494884
31,61.027814
81,63.686148
25,64.211210
81,66.869544
13,67.382165
81,70.040498
40,70.582794
81,73.241128
37,73.767242
81,76.425575
102,76.973395
100,77.281729
101,78.548395
103,79.631729
38,80.144515
81,82.802848
102,83.311666
100,84.619999
101,85.886666
103,85.969999
14,86.516950
81,89.175283
15,89.719035
81,92.377368
34,92.890807
81,95.549141
27,96.089254
81,98.747587
26,99.285709
81,101.944042
102,102.462589
100,102.979256
101,104.245923
103,105.120923
29,105.651248
81,108.309581
10,108.820011
81,111.478344
23,112.013735
81,114.672068
33,115.181692
81,117.840026
8,118.364392
81,121.022726
9,121.559070
81,124.217403
12,124.752554
81,127.410888
40,127.939486
81,130.597820
18,131.121941
81,133.780275
23,134.292810
81,136.951144
102,137.479162
100,137.695829
101,138.962495
103,140.137495
35,140.672181
81,143.330514
30,143.855111
81,146.513444
102,147.049293
100,148.415959
101,149.682626
103,149.707626
22,150.225536
81,152.883869
38,153.407506
81,156.065840
39,156.605283
81,159.263616
21,159.783521
81,162.441855
2,162.969120
81,165.627453
29,166.148941
81,168.807275
24,169.350936
81,172.009269
16,172.543649
81,175.201982
102,175.711804
100,176.286804
101,177.553471
103,178.370138
36,178.879136
81,181.537470
19,182.057207
81,184.715541
25,185.245892
81,187.904225
5,188.440005
81,191.098338
102,191.617321
100,192.017321
101,193.283987
103,194.275654
6,194.791158
81,197.449491
39,197.961773
81,200.620107
17,201.161070
81,203.819403
24,204.338745
81,206.997079
7,207.523421
81,210.181754
28,210.706610
81,213.364944
3,213.875332
81,216.533665
13,217.063901
81,219.722234
9,220.234248
81,222.892582
6,223.407898
81,226.066232
7,226.603243
81,229.261576
22,229.789766
81,232.448099
33,232.995513
81,235.653846
1,236.171488
81,238.829821
16,239.339093
81,241.997426
4,242.532102
81,245.190436
19,245.716348
81,248.374681
35,248.923003
81,251.581337
20,252.104637
81,254.762970
