trigger,time_s
30,0.514136
81,3.172469
13,3.696127
81,6.354461
4,6.898108
81,9.556442
24,10.064807
81,12.723141
32,13.232704
81,15.891038
9,16.431093
81,19.089426
102,19.617612
100,20.442612
101,21.709278
103,22.275945
102,22.784570
100,23.184570
101,24.451236
103,25.442903
5,25.981611
81,28.639944
37,29.156144
81,31.814477
34,32.356304
81,35.014638
1,35.531697
81,38.190030
37,38.728135
81,41.386469
32,41.899397
81,44.557730
20,45.076754
81,47.735088
38,48.258124
81,50.916458
28,51.460128
81,54.118462
18,54.650145
81,57.308479
102,57.836551
100,58.136551
101,59.403217
103,60.494884
102,61.027814
100,61.661148
101,62.927814
103,63.686148
7,64.211210
81,66.869544
25,67.382165
81,70.040498
4,70.582794
81,73.241128
15,73.767242
81,76.425575
33,76.973395
81,79.631729
16,80.144515
81,82.802848
20,83.311666
81,85.969999
102,86.516950
100,87.708616
101,88.975283
103,89.175283
35,89.719035
81,92.377368
19,92.890807
81,95.549141
102,96.089254
100,97.030921
101,98.297587
103,98.747587
31,99.285709
81,101.944042
7,102.462589
81,105.120923
24,105.651248
81,108.309581
18,108.820011
81,111.478344
33,112.013735
81,114.672068
19,115.181692
81,117.840026
26,118.364392
81,121.022726
31,121.559070
81,124.217403
5,124.752554
81,127.410888
11,127.939486
81,130.597820
9,131.121941
81,133.780275
6,134.292810
81,136.951144
27,137.479162
81,140.137495
28,140.672181
81,143.330514
12,143.855111
81,146.513444
26,147.049293
81,149.707626
15,150.225536
81,152.883869
2,153.407506
81,156.065840
34,156.605283
81,159.263616
23,159.783521
81,162.441855
102,162.969120
100,163.227453
101,164.494120
103,165.627453
3,166.148941
81,168.807275
29,169.350936
81,172.009269
102,172.543649
100,173.526982
101,174.793649
103,175.201982
14,175.711804
81,178.370138
22,178.879136
81,181.537470
36,182.057207
81,184.715541
39,185.245892
81,187.904225
17,188.440005
81,191.098338
102,191.617321
100,192.292321
101,193.558987
103,194.275654
23,194.791158
81,197.449491
30,197.961773
81,200.620107
8,201.161070
81,203.819403
25,204.338745
81,206.997079
10,207.523421
81,210.181754
40,210.706610
81,213.364944
39,213.875332
81,216.533665
29,217.063901
81,219.722234
38,220.234248
81,222.892582
11,223.407898
81,226.066232
102,226.603243
100,227.503243
101,228.769909
103,229.261576
12,229.789766
81,232.448099
13,232.995513
81,235.653846
14,236.171488
81,238.829821
36,239.339093
81,241.997426
22,242.532102
81,245.190436
40,245.716348
81,248.374681
10,248.923003
81,251.581337
1,252.104637
81,254.762970
