trigger,time_s
25,0.537746
81,3.196080
27,3.738466
81,6.396799
11,6.908021
81,9.566354
23,10.086333
81,12.744666
35,13.256469
81,15.914803
10,16.437132
81,19.095466
2,19.614986
81,22.273319
102,22.783485
100,24.150152
101,25.416819
103,25.441819
40,25.961770
81,28.620104
39,29.144203
81,31.802537
15,32.317066
81,34.975399
19,35.484672
81,38.143006
28,38.661175
81,41.319509
39,41.843732
81,44.502065
38,45.027302
81,47.685635
30,48.231209
81,50.889542
40,51.424533
81,54.082866
11,54.613859
81,57.272192
23,57.791587
81,60.449920
102,60.959314
100,61.925980
101,63.192647
103,63.617647
1,64.137077
81,66.795410
19,67.314912
81,69.973245
33,70.497721
81,73.156054
3,73.702589
81,76.360922
27,76.904173
81,79.562507
9,80.087731
81,82.746065
33,83.265788
81,85.924122
6,86.467945
81,89.126278
22,89.647865
81,92.306198
4,92.850352
81,95.508686
34,96.018383
81,98.676716
22,99.206570
81,101.864904
14,102.392834
81,105.051167
20,105.565321
81,108.223654
37,108.733688
81,111.392021
21,111.913498
81,114.571831
7,115.083546
81,117.741880
17,118.255284
81,120.913618
24,121.460100
81,124.118433
102,124.650164
100,125.141830
101,126.408497
103,127.308497
102,127.839803
100,128.814803
101,130.081470
103,130.498137
37,131.022825
81,133.681158
17,134.226015
81,136.884348
18,137.403203
81,140.061537
30,140.592464
81,143.250798
102,143.762037
100,145.053704
101,146.320371
103,146.420371
10,146.950354
81,149.608687
16,150.145257
81,152.803590
102,153.314334
100,154.006001
101,155.272668
103,155.972668
35,156.490942
81,159.149276
7,159.694925
81,162.353259
32,162.894786
81,165.553119
9,166.084848
81,168.743181
2,169.269607
81,171.927940
102,172.438668
100,173.297001
101,174.563668
103,175.097001
32,175.611041
81,178.269374
4,178.817263
81,181.475597
16,182.004042
81,184.662376
14,185.171477
81,187.829811
28,188.377421
81,191.035755
18,191.574780
81,194.233113
15,194.754236
81,197.412569
5,197.921426
81,200.579759
36,201.092184
81,203.750518
31,204.284587
81,206.942920
26,207.466614
81,210.124947
6,210.648736
81,213.307069
25,213.828470
81,216.486803
29,217.009305
81,219.667638
24,220.189208
81,222.847542
8,223.395152
81,226.053485
3,226.594596
81,229.252929
36,229.786641
81,232.444974
102,232.976636
100,233.276636
101,234.543303
103,235.634969
102,236.175160
100,237.516826
101,238.783493
103,238.833493
102,239.354009
100,240.379009
101,241.645676
103,242.012342
34,242.544123
81,245.202456
29,245.724011
81,248.382345
13,248.919498
81,251.577831
13,252.112297
81,254.770630
