trial,trial_exp,run,block,trigger,start_s,end_s,allowed,match
110,109,1,2,103,530.893000,530.895000,1,1
111,110,1,2,52,531.710000,531.712000,1,1
111,110,1,2,81,534.371000,534.373000,1,1
112,111,1,2,58,534.896000,534.898000,1,1
112,111,1,2,81,537.557000,537.559000,1,1
113,112,1,2,61,538.099000,538.101000,1,1
113,112,1,2,81,540.759000,540.761000,1,1
114,113,1,2,51,541.301000,541.303000,1,1
114,113,1,2,81,543.962000,543.964000,1,1
115,114,1,2,75,544.512000,544.514000,1,1
115,114,1,2,81,547.167000,547.169000,1,1
116,115,1,2,76,547.707000,547.709000,1,1
116,115,1,2,81,550.367000,550.369000,1,1
117,116,1,2,52,550.884000,550.886000,1,1
117,116,1,2,81,553.539000,553.541000,1,1
118,117,1,2,46,554.062000,554.064000,1,1
118,117,1,2,81,556.723000,556.725000,1,1
119,118,1,2,69,557.273000,557.275000,1,1
119,118,1,2,81,559.934000,559.936000,1,1
120,119,1,2,59,560.484000,560.486000,1,1
120,119,1,2,81,563.145000,563.147000,1,1
121,120,1,2,75,563.687000,563.689000,1,1
121,120,1,2,81,566.347000,566.349000,1,1
122,121,1,2,53,566.889000,566.891000,1,1
122,121,1,2,81,569.544000,569.546000,1,1
123,122,1,2,44,570.092000,570.094000,1,1
123,122,1,2,81,572.753000,572.755000,1,1
124,123,1,2,66,573.295000,573.297000,1,1
124,123,1,2,81,575.955000,575.957000,1,1
125,124,1,2,80,576.481000,576.483000,1,1
125,124,1,2,81,579.136000,579.138000,1,1
126,125,1,2,54,579.667000,579.669000,1,1
126,125,1,2,81,582.327000,582.329000,1,1
127,126,1,2,102,582.853000,582.855000,1,1
127,126,1,2,100,583.445000,583.447000,1,1
127,126,1,2,101,584.704000,584.706000,1,1
127,126,1,2,103,585.513000,585.515000,1,1
128,127,1,2,48,586.331000,586.333000,1,1
128,127,1,2,81,588.991000,588.993000,1,1
129,128,1,2,56,589.508000,589.510000,1,1
129,128,1,2,81,592.169000,592.171000,1,1
130,129,1,2,63,592.703000,592.705000,1,1
130,129,1,2,81,595.363000,595.365000,1,1
131,130,1,2,102,595.914000,595.916000,1,1
131,130,1,2,100,596.192000,596.193000,1,1
131,130,1,2,101,597.451000,597.453000,1,1
131,130,1,2,103,598.568000,598.570000,1,1
132,131,1,2,102,599.392000,599.394000,1,1
132,131,1,2,100,599.909000,599.911000,1,1
132,131,1,2,101,601.168000,601.170000,1,1
132,131,1,2,103,602.052000,602.054000,1,1
133,132,1,2,63,602.886000,602.888000,1,1
133,132,1,2,81,605.547000,605.549000,1,1
134,133,1,2,42,606.106000,606.108000,1,1
134,133,1,2,81,608.766000,608.768000,1,1
135,134,1,2,45,609.300000,609.302000,1,1
135,134,1,2,81,611.960000,611.962000,1,1
136,135,1,2,68,612.486000,612.488000,1,1
136,135,1,2,81,615.140000,615.142000,1,1
