trigger,time_s
25,0.537746
81,3.196080
102,3.738466
100,4.721799
101,5.988466
103,6.396799
4,6.908021
81,9.566354
28,10.086333
81,12.744666
14,13.256469
81,15.914803
34,16.437132
81,19.095466
3,19.614986
81,22.273319
2,22.783485
81,25.441819
38,25.961770
81,28.620104
33,29.144203
81,31.802537
12,32.317066
81,34.975399
6,35.484672
81,38.143006
29,38.661175
81,41.319509
16,41.843732
81,44.502065
15,45.027302
81,47.685635
26,48.231209
81,50.889542
33,51.424533
81,54.082866
30,54.613859
81,57.272192
9,57.791587
81,60.449920
14,60.959314
81,63.617647
22,64.137077
81,66.795410
20,67.314912
81,69.973245
35,70.497721
81,73.156054
19,73.702589
81,76.360922
13,76.904173
81,79.562507
21,80.087731
81,82.746065
102,83.265788
100,84.032455
101,85.299122
103,85.924122
8,86.467945
81,89.126278
102,89.647865
100,90.539532
101,91.806198
103,92.306198
18,92.850352
81,95.508686
35,96.018383
81,98.676716
102,99.206570
100,100.448237
101,101.714904
103,101.864904
7,102.392834
81,105.051167
27,105.565321
81,108.223654
27,108.733688
81,111.392021
5,111.913498
81,114.571831
11,115.083546
81,117.741880
23,118.255284
81,120.913618
102,121.460100
100,121.785100
101,123.051767
103,124.118433
25,124.650164
81,127.308497
11,127.839803
81,130.498137
37,131.022825
81,133.681158
36,134.226015
81,136.884348
7,137.403203
81,140.061537
6,140.592464
81,143.250798
5,143.762037
81,146.420371
102,146.950354
100,147.975354
101,149.242020
103,149.608687
17,150.145257
81,152.803590
12,153.314334
81,155.972668
102,156.490942
100,157.282609
101,158.549276
103,159.149276
30,159.694925
81,162.353259
102,162.894786
100,163.861453
101,165.128119
103,165.553119
26,166.084848
81,168.743181
22,169.269607
81,171.927940
32,172.438668
81,175.097001
38,175.611041
81,178.269374
15,178.817263
81,181.475597
102,182.004042
100,182.504042
101,183.770709
103,184.662376
39,185.171477
81,187.829811
24,188.377421
81,191.035755
17,191.574780
81,194.233113
16,194.754236
81,197.412569
1,197.921426
81,200.579759
102,201.092184
100,201.667184
101,202.933851
103,203.750518
4,204.284587
81,206.942920
18,207.466614
81,210.124947
21,210.648736
81,213.307069
32,213.828470
81,216.486803
28,217.009305
81,219.667638
40,220.189208
81,222.847542
23,223.395152
81,226.053485
24,226.594596
81,229.252929
19,229.786641
81,232.444974
8,232.976636
81,235.634969
13,236.175160
81,238.833493
34,239.354009
81,242.012342
3,242.544123
81,245.202456
2,245.724011
81,248.382345
31,248.919498
81,251.577831
20,252.112297
81,254.770630
