trigger,start_s,end_s,allowed,match
81,393.318000,393.320000,1,1
102,393.969000,393.971000,1,1
100,394.202000,394.204000,1,1
201,394.529000,394.531000,1,0
101,NaN,NaN,1,MISSING
103,396.621000,396.623000,1,1
79,397.272000,397.274000,1,1
81,399.924000,399.926000,1,1
51,400.583000,400.585000,1,1
81,403.235000,403.237000,1,1
55,403.894000,403.896000,1,1
81,406.546000,406.548000,1,1
62,407.197000,407.199000,1,1
81,409.849000,409.851000,1,1
69,410.750000,410.752000,1,1
81,413.402000,413.404000,1,1
75,414.061000,414.063000,1,1
81,416.713000,416.715000,1,1
73,417.363000,417.365000,1,1
81,420.016000,420.018000,1,1
50,420.675000,420.677000,1,1
81,423.327000,423.329000,1,1
102,423.977000,423.979000,1,1
100,425.045000,425.047000,1,1
201,425.638000,425.640000,1,0
101,NaN,NaN,1,MISSING
103,426.630000,426.632000,1,1
102,427.288000,427.290000,1,1
100,427.505000,427.507000,1,1
201,427.949000,427.951000,1,0
101,NaN,NaN,1,MISSING
103,429.941000,429.943000,1,1
51,430.591000,430.593000,1,1
81,433.243000,433.245000,1,1
53,433.902000,433.904000,1,1
81,436.554000,436.556000,1,1
47,437.213000,437.215000,1,1
81,439.866000,439.868000,1,1
70,440.524000,440.526000,1,1
81,443.177000,443.179000,1,1
42,443.827000,443.829000,1,1
81,446.479000,446.481000,1,1
41,447.130000,447.132000,1,1
81,449.782000,449.784000,1,1
67,450.433000,450.435000,1,1
81,453.085000,453.087000,1,1
80,453.736000,453.738000,1,1
81,456.388000,456.390000,1,1
63,457.047000,457.049000,1,1
81,459.699000,459.701000,1,1
53,460.358000,460.360000,1,1
81,463.010000,463.012000,1,1
49,463.669000,463.671000,1,1
81,466.321000,466.323000,1,1
102,466.972000,466.974000,1,1
100,467.622000,467.624000,1,1
101,NaN,NaN,1,MISSING
103,469.624000,469.626000,1,1
64,470.583000,470.585000,1,1
81,473.235000,473.237000,1,1
43,473.886000,473.888000,1,1
81,476.538000,476.540000,1,1
78,477.197000,477.199000,1,1
81,479.849000,479.851000,1,1
71,480.508000,480.510000,1,1
81,483.160000,483.162000,1,1
102,483.811000,483.813000,1,1
100,484.161000,484.163000,1,1
201,484.487000,484.489000,1,0
101,NaN,NaN,1,MISSING
103,486.463000,486.465000,1,1
49,487.113000,487.115000,1,1
81,489.766000,489.768000,1,1
59,490.416000,490.418000,1,1
81,493.068000,493.070000,1,1
63,493.727000,493.729000,1,1
81,496.380000,496.382000,1,1
65,497.038000,497.040000,1,1
81,499.691000,499.693000,1,1
79,500.350000,500.352000,1,1
81,503.002000,503.004000,1,1
67,503.652000,503.654000,1,1
81,506.305000,506.307000,1,1
54,506.955000,506.957000,1,1
81,509.607000,509.609000,1,1
64,510.258000,510.260000,1,1
81,512.910000,512.912000,1,1
102,513.561000,513.563000,1,1
100,514.561000,514.563000,1,1
101,NaN,NaN,1,MISSING
103,516.213000,516.215000,1,1
102,517.172000,517.174000,1,1
100,517.973000,517.975000,1,1
201,518.533000,518.535000,1,0
101,NaN,NaN,1,MISSING
103,519.824000,519.826000,1,1
74,520.483000,520.485000,1,1
81,523.135000,523.137000,1,1
42,523.786000,523.788000,1,1
81,526.438000,526.440000,1,1
59,527.089000,527.091000,1,1
81,529.741000,529.743000,1,1
77,530.391000,530.393000,1,1
81,533.044000,533.046000,1,1
73,533.694000,533.696000,1,1
81,536.346000,536.348000,1,1
102,537.005000,537.007000,1,1
100,537.422000,537.424000,1,1
201,537.949000,537.951000,1,0
101,NaN,NaN,1,MISSING
103,539.657000,539.659000,1,1
76,540.308000,540.310000,1,1
81,542.960000,542.962000,1,1
66,543.611000,543.613000,1,1
81,546.263000,546.265000,1,1
72,546.922000,546.924000,1,1
81,549.574000,549.576000,1,1
44,550.225000,550.227000,1,1
81,552.877000,552.879000,1,1
61,553.527000,553.529000,1,1
81,556.180000,556.182000,1,1
50,556.830000,556.832000,1,1
81,559.482000,559.484000,1,1
46,560.141000,560.143000,1,1
81,562.793000,562.795000,1,1
70,563.444000,563.446000,1,1
81,566.096000,566.098000,1,1
46,566.747000,566.749000,1,1
81,569.399000,569.401000,1,1
58,570.058000,570.060000,1,1
81,572.710000,572.712000,1,1
57,573.344000,573.346000,1,1
81,575.996000,575.998000,1,1
56,576.647000,576.649000,1,1
81,579.299000,579.301000,1,1
74,NaN,NaN,1,MISSING
81,582.602000,582.604000,1,1
54,583.261000,583.263000,1,1
81,585.913000,585.915000,1,1
77,586.563000,586.565000,1,1
81,589.216000,589.218000,1,1
78,589.874000,589.876000,1,1
81,592.527000,592.529000,1,1
44,593.177000,593.179000,1,1
81,595.829000,595.831000,1,1
47,596.488000,596.490000,1,1
81,599.141000,599.143000,1,1
58,599.799000,599.801000,1,1
81,602.452000,602.454000,1,1
62,603.111000,603.113000,1,1
81,605.763000,605.765000,1,1
65,606.664000,606.666000,1,1
201,607.357000,607.359000,1,0
81,609.316000,609.318000,1,1
57,610.275000,610.277000,1,1
81,612.927000,612.929000,1,1
48,613.586000,613.588000,1,1
81,616.238000,616.240000,1,1
68,617.081000,617.083000,1,1
81,619.733000,619.735000,1,1
72,620.383000,620.385000,1,1
81,623.036000,623.038000,1,1
102,623.694000,623.696000,1,1
100,624.812000,624.814000,1,1
201,625.455000,625.457000,1,0
101,NaN,NaN,1,MISSING
103,626.347000,626.349000,1,1
56,626.997000,626.999000,1,1
81,629.649000,629.651000,1,1
52,630.300000,630.302000,1,1
81,632.952000,632.954000,1,1
76,633.611000,633.613000,1,1
81,636.263000,636.265000,1,1
61,636.914000,636.916000,1,1
81,639.566000,639.568000,1,1
66,640.217000,640.219000,1,1
81,642.869000,642.871000,1,1
69,643.528000,643.530000,1,1
81,646.180000,646.182000,1,1
43,646.839000,646.841000,1,1
81,649.491000,649.493000,1,1
102,650.142000,650.144000,1,1
100,650.959000,650.961000,1,1
201,651.352000,651.354000,1,0
101,NaN,NaN,1,MISSING
103,652.794000,652.796000,1,1
